fips_txt,STNAME,CTYNAME,Pop_Delta_2010_2018,CENSUS2010POP,POPESTIMATE2018,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
1001,Alabama,Autauga County,1.73%,54571,55533,55227,54954,54727,54893,54864,55243,55390,55533,55869
1003,Alabama,Baldwin County,16.34%,182265,217855,186558,190145,194885,199183,202939,207601,212521,217855,223234
1005,Alabama,Barbour County,-10.39%,27457,24872,27341,27169,26937,26755,26283,25806,25157,24872,24686
1007,Alabama,Bibb County,-2.45%,22915,22367,22745,22667,22521,22553,22566,22586,22550,22367,22394
1009,Alabama,Blount County,0.78%,57322,57771,57560,57580,57619,57526,57526,57494,57787,57771,57826
1011,Alabama,Bullock County,-7.27%,10914,10174,10675,10606,10549,10663,10400,10389,10176,10174,10101
1013,Alabama,Butler County,-6.70%,20947,19631,20866,20670,20356,20327,20162,20012,19888,19631,19448
1015,Alabama,Calhoun County,-3.71%,118572,114331,117744,117190,116471,115917,115469,114973,114710,114331,113605
1017,Alabama,Chambers County,-1.83%,34215,33600,34033,34104,34139,33977,33996,33745,33707,33600,33254
1019,Alabama,Cherokee County,0.10%,25989,26014,25989,25958,26017,25895,25732,25768,25805,26014,26196
1021,Alabama,Chilton County,1.18%,43643,44163,43689,43582,43628,43760,43700,43866,44120,44163,44428
1023,Alabama,Choctaw County,-8.00%,13859,12833,13609,13563,13397,13317,13231,13045,12925,12833,12589
1025,Alabama,Clarke County,-8.01%,25833,23918,25587,25155,25123,24864,24698,24340,24063,23918,23622
1027,Alabama,Clay County,-4.80%,13932,13294,13687,13434,13404,13441,13415,13393,13350,13294,13235
1029,Alabama,Cleburne County,0.25%,14972,15010,14928,14889,14976,15026,14914,14848,14899,15010,14910
1031,Alabama,Coffee County,3.85%,49948,51950,50444,51141,50681,50657,50963,51202,51853,51950,52342
1033,Alabama,Colbert County,1.05%,54428,55004,54539,54570,54529,54462,54417,54497,54695,55004,55241
1035,Alabama,Conecuh County,-7.61%,13228,12292,13195,13046,12912,12677,12678,12500,12431,12292,12067
1037,Alabama,Coosa County,-8.42%,11539,10643,11486,11346,11254,11037,10934,10819,10724,10643,10663
1039,Alabama,Covington County,-2.20%,37765,36953,38020,37805,37814,37760,37556,37382,37062,36953,37049
1041,Alabama,Crenshaw County,-0.59%,13906,13825,13894,13915,13847,13851,13850,13916,13858,13825,13772
1043,Alabama,Cullman County,3.61%,80406,83418,80410,80279,80690,81068,81761,82450,82867,83418,83768
1045,Alabama,Dale County,-2.25%,50251,49143,50122,50289,49771,49414,49365,49362,49342,49143,49172
1047,Alabama,Dallas County,-14.43%,43820,38294,43251,42789,41976,41554,40936,40080,39238,38294,37196
1049,Alabama,DeKalb County,0.42%,71109,71407,71365,70944,70912,70993,71087,71104,71437,71407,71513
1051,Alabama,Elmore County,2.11%,79303,81011,79993,80193,80536,80538,80872,81204,81422,81011,81209
1053,Alabama,Escambia County,-4.91%,38319,36524,38204,38023,37765,37735,37661,37475,36993,36524,36633
1055,Alabama,Etowah County,-1.77%,104430,102611,104369,104278,103884,103399,102998,102855,103007,102611,102268
1057,Alabama,Fayette County,-4.84%,17241,16445,17052,16945,16824,16772,16696,16563,16466,16445,16302
1059,Alabama,Franklin County,-1.30%,31704,31298,31776,31690,31553,31559,31515,31611,31542,31298,31362
1061,Alabama,Geneva County,-1.84%,26790,26306,26756,26924,26677,26593,26631,26494,26385,26306,26271
1063,Alabama,Greene County,-10.18%,9045,8209,8903,8848,8748,8584,8508,8482,8310,8209,8111
1065,Alabama,Hale County,-6.85%,15760,14749,15361,15364,15246,15046,15015,14828,14801,14749,14651
1067,Alabama,Henry County,-0.75%,17302,17173,17377,17153,17129,17079,17101,17072,17115,17173,17205
1069,Alabama,Houston County,3.08%,101547,104770,102488,103371,103643,104158,104260,104218,104378,104770,105882
1071,Alabama,Jackson County,-3.11%,53227,51621,53214,53079,52957,52562,52195,51988,51828,51621,51626
1073,Alabama,Jefferson County,0.15%,658466,659429,658109,658061,659265,659972,660455,660343,659599,659429,658573
1075,Alabama,Lamar County,-4.91%,14564,13882,14291,14248,14212,14067,13927,13928,13882,13882,13805
1077,Alabama,Lauderdale County,-0.11%,92709,92604,92607,92662,92701,93000,92459,92425,92564,92604,92729
1079,Alabama,Lawrence County,-4.24%,34339,32941,34051,33806,33575,33444,33135,33227,33063,32941,32924
1081,Alabama,Lee County,14.30%,140247,163656,144130,148567,151809,154511,156954,159168,161440,163656,164542
