fips_txt,Stabr,area_name,median_HHI_2019,bach_deg_pct_14to18,Latitude,Longitude,population2019,land_area_sq_mi,pop_density_per_mile,2010 Census,change_in_pop_decade,male,perc_male,female,perc_female,white,perc_white,black,perc_black,hispanic,perc_hispanic,brewery_count,brewery_per_1M_people,unemployment_rate,age_25_39,perc_age_25_39,age_40_54,perc_age_40_54,age_55_74,perc_age-55_74,LargestList,BestList
1003,AL,"Baldwin County, AL",59871,31.3,30.65922,-87.746067,223234,1589.784,140.4178178,182265,18.35%,108247,48.50%,114987,51.50%,195198,87.40%,21354,9.60%,10534,4.70%,3,13.43881308,2.7,38615,17.30%,42015,18.82%,60459,27.08%,FALSE,FALSE
1015,AL,"Calhoun County, AL",47747,18,33.77171,-85.822513,113605,605.868,187.50784,118572,-4.37%,54481,48.00%,59124,52.00%,85322,75.10%,25483,22.40%,4614,4.10%,1,8.802429471,3.5,21854,19.24%,20668,18.19%,28108,24.74%,FALSE,FALSE
1055,AL,"Etowah County, AL",43047,17.7,34.04764,-86.03442,102268,534.991,191.1583559,104430,-2.11%,49496,48.40%,52772,51.60%,82501,80.70%,17096,16.70%,4230,4.10%,1,9.778229749,3.3,18555,18.14%,19776,19.34%,25785,25.21%,FALSE,FALSE
1071,AL,"Jackson County, AL",44322,14.2,34.76352,-85.9774,51626,1077.868,47.8964029,53227,-3.10%,25367,49.10%,26259,50.90%,47173,91.40%,2218,4.30%,1584,3.10%,1,19.37008484,3.3,8857,17.16%,10008,19.39%,13890,26.91%,FALSE,FALSE
1073,AL,"Jefferson County, AL",54127,32.4,33.55344,-86.896536,658573,1111.276,592.627754,658466,0.02%,311232,47.30%,347341,52.70%,349516,53.10%,291202,44.20%,26873,4.10%,9,13.66591099,2.9,139902,21.24%,118445,17.99%,149001,22.62%,FALSE,FALSE
1077,AL,"Lauderdale County, AL",48188,23.9,34.90412,-87.650997,92729,667.697,138.8788627,92709,0.02%,44490,48.00%,48239,52.00%,80633,87.00%,10144,10.90%,2652,2.90%,2,21.56822569,3.3,16287,17.56%,16129,17.39%,23615,25.47%,FALSE,FALSE
1081,AL,"Lee County, AL",54160,34.1,32.60406,-85.353048,164542,607.536,270.8349793,140247,14.77%,80840,49.10%,83702,50.90%,116411,70.70%,39112,23.80%,6091,3.70%,1,6.07747566,2.7,33574,20.40%,28636,17.40%,30913,18.79%,FALSE,FALSE
1089,AL,"Madison County, AL",68609,41.7,34.76424,-86.55108,372909,801.593,465.2099008,334811,10.22%,182366,48.90%,190543,51.10%,256828,68.90%,97558,26.20%,19352,5.20%,10,26.81619376,2.5,76936,20.63%,69670,18.68%,86133,23.10%,FALSE,FALSE
1095,AL,"Marshall County, AL",48913,19.2,34.30956,-86.321668,96774,565.842,171.026541,93019,3.88%,47717,49.30%,49057,50.70%,89814,92.80%,3956,4.10%,14272,14.70%,1,10.333354,2.5,17775,18.37%,17636,18.22%,22238,22.98%,FALSE,FALSE
1097,AL,"Mobile County, AL",49492,22.9,30.68457,-88.196568,413210,1229.435,336.0974757,412992,0.05%,196374,47.50%,216836,52.50%,243845,59.00%,153555,37.20%,12443,3.00%,4,9.680307834,3.7,83697,20.26%,73145,17.70%,95841,23.19%,FALSE,FALSE
1101,AL,"Montgomery County, AL",52711,32.1,32.20365,-86.203831,226486,784.247,288.7942192,229363,-1.27%,106394,47.00%,120092,53.00%,80422,35.50%,136437,60.20%,8344,3.70%,1,4.415283947,3.1,47455,20.95%,39969,17.65%,49305,21.77%,FALSE,FALSE
1103,AL,"Morgan County, AL",54355,21.7,34.45448,-86.846402,119679,579.337,206.5792449,119490,0.16%,58888,49.20%,60791,50.80%,99114,82.80%,16888,14.10%,10466,8.70%,1,8.35568479,2.6,22047,18.42%,23104,19.30%,28959,24.20%,FALSE,FALSE
1113,AL,"Russell County, AL",43670,16.5,32.28981,-85.18698,57961,641.14,90.4030321,52947,8.65%,27767,47.90%,30194,52.10%,28946,49.90%,27228,47.00%,3378,5.80%,1,17.25298045,2.9,12543,21.64%,10702,18.46%,12720,21.95%,FALSE,FALSE
1117,AL,"Shelby County, AL",77801,42.1,33.26294,-86.678104,217702,784.93,277.3521206,195085,10.39%,105203,48.30%,112499,51.70%,179689,82.50%,30443,14.00%,12635,5.80%,1,4.593435063,2.2,40971,18.82%,45197,20.76%,49550,22.76%,FALSE,FALSE
1125,AL,"Tuscaloosa County, AL",52307,30.3,33.2902,-87.52286,209355,1321.755,158.3916838,194656,7.02%,100780,48.10%,108575,51.90%,134441,64.20%,69360,33.10%,8308,4.00%,3,14.32972702,2.7,44079,21.05%,35429,16.92%,41452,19.80%,FALSE,FALSE
