median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_per_1M_people,unemployment_rate,perc_age_25_39,LargestList,BestList
59871,31.3,140.4178178,18.35%,51.50%,4.70%,13.43881308,2.7,17.30%,FALSE,FALSE
54127,32.4,592.627754,0.02%,52.70%,4.10%,13.66591099,2.9,21.24%,FALSE,FALSE
68609,41.7,465.2099008,10.22%,51.10%,5.20%,26.81619376,2.5,20.63%,FALSE,FALSE
49492,22.9,336.0974757,0.05%,52.50%,3.00%,9.680307834,3.7,20.26%,FALSE,FALSE
52307,30.3,158.3916838,7.02%,51.90%,4.00%,14.32972702,2.7,21.05%,FALSE,FALSE
82512,35.3,168.9463672,-1.33%,49.10%,9.40%,41.66666667,5.1,24.82%,FALSE,FALSE
74076,32.6,13.19790701,-0.76%,46.20%,8.20%,30.97605551,5.4,25.76%,FALSE,FALSE
85419,39.5,11.83375889,2.19%,49.10%,7.00%,93.82623381,4.4,22.76%,FALSE,FALSE
68625,23.3,3.652055438,5.63%,47.80%,4.30%,51.10036111,6.8,19.02%,FALSE,FALSE
48650,23,20.42301835,-4.31%,49.40%,35.70%,23.82427217,5.7,18.53%,FALSE,FALSE
58301,35.6,7.705939427,6.31%,50.70%,14.30%,62.72826117,5.5,19.96%,FALSE,FALSE
68634,32,487.537422,14.90%,50.60%,31.40%,12.48491221,4,21.45%,FALSE,FALSE
49712,12.9,15.94017437,5.65%,49.40%,16.90%,28.277744,5.7,14.99%,FALSE,FALSE
56150,31.9,113.9953082,6.40%,50.80%,37.80%,18.14225245,4.4,18.94%,FALSE,FALSE
54242,25.2,28.94060798,10.24%,51.10%,14.70%,29.77469066,4.4,13.61%,FALSE,FALSE
41950,18.3,75.65088592,1.00%,51.50%,2.60%,71.54440523,4,14.35%,FALSE,FALSE
70775,32.4,329.425496,20.71%,50.30%,17.10%,32.24177029,2.6,22.53%,FALSE,FALSE
45786,20.2,146.6343849,3.38%,51.90%,5.90%,30.18533798,3.7,16.99%,FALSE,FALSE
52684,34.1,515.8332269,2.34%,52.30%,6.20%,28.06759698,3.4,21.47%,FALSE,FALSE
52158,32.8,253.9231777,15.10%,50.00%,17.10%,41.80829226,2.4,22.22%,FALSE,FALSE
107589,46,2261.556906,9.64%,50.70%,22.30%,23.33472344,2.9,24.92%,FALSE,FALSE
58394,26.5,133.9387851,-0.37%,50.50%,17.20%,31.9363463,5.1,19.14%,FALSE,FALSE
106555,41.7,1611.211601,9.06%,51.10%,26.00%,12.13670086,3.1,19.59%,FALSE,FALSE
86202,33.7,112.9134724,6.11%,50.10%,13.20%,88.15461282,3.5,16.02%,FALSE,FALSE
56926,20.7,167.6909213,6.87%,50.10%,53.80%,13.01169752,7.2,22.23%,FALSE,FALSE
