Index,BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_count,unemployment_rate,perc_age_25_39
0,FALSE,54127,54127,592.627754,0.0002,0.527,0.041,9,2.9,0.2124
1,FALSE,54127,54127,592.627754,0.0002,0.527,0.041,9,2.9,0.2124
2,FALSE,68609,68609,465.2099008,0.1022,0.511,0.052,10,2.5,0.2063
3,FALSE,75856,75856,4.40171688,0.1784,0.481,0.052,2,6.9,0.2159
4,FALSE,82512,82512,168.9463672,-0.0133,0.491,0.094,12,5.1,0.2482
5,FALSE,56150,56150,113.9953082,0.064,0.508,0.378,19,4.4,0.1894
6,FALSE,68634,68634,487.537422,0.149,0.506,0.314,56,4,0.2145
7,FALSE,68634,68634,487.537422,0.149,0.506,0.314,56,4,0.2145
8,FALSE,56150,56150,113.9953082,0.064,0.508,0.378,19,4.4,0.1894
9,FALSE,56150,56150,113.9953082,0.064,0.508,0.378,19,4.4,0.1894
10,FALSE,58301,58301,7.705939427,0.0631,0.507,0.143,9,5.5,0.1996
11,FALSE,49712,49712,15.94017437,0.0565,0.494,0.169,6,5.7,0.1499
12,FALSE,68634,68634,487.537422,0.149,0.506,0.314,56,4,0.2145
13,FALSE,68634,68634,487.537422,0.149,0.506,0.314,56,4,0.2145
14,FALSE,68634,68634,487.537422,0.149,0.506,0.314,56,4,0.2145
15,FALSE,68634,68634,487.537422,0.149,0.506,0.314,56,4,0.2145
16,FALSE,47098,47098,78.45781281,0.0714,0.507,0.03,1,3.5,0.1965
17,FALSE,52684,52684,515.8332269,0.0234,0.523,0.062,11,3.4,0.2147
18,FALSE,52684,52684,515.8332269,0.0234,0.523,0.062,11,3.4,0.2147
19,FALSE,41950,41950,75.65088592,0.01,0.515,0.026,3,4,0.1435
20,FALSE,70775,70775,329.425496,0.2071,0.503,0.171,9,2.6,0.2253
21,FALSE,76599,76599,85.82848249,0.0476,0.494,0.229,24,2.9,0.1741
