,0,1,2,3,4,5,6,7,8,9
0,59871,140.4178178,0.1835,0.515,0.047,2.7,0.173,13.43881308,0.313,0
1,47747,187.50784,-0.0437,0.52,0.041,3.5,0.1924,8.802429471,0.18,0
2,43047,191.1583559,-0.0211,0.516,0.041,3.3,0.1814,9.778229749,0.177,0
3,44322,47.8964029,-0.031,0.509,0.031,3.3,0.1716,19.37008484,0.142,0
4,54127,592.627754,0.0002,0.527,0.041,2.9,0.2124,13.66591099,0.324,0
5,48188,138.8788627,0.0002,0.52,0.029,3.3,0.1756,21.56822569,0.239,0
6,54160,270.8349793,0.1477,0.509,0.037,2.7,0.204,6.07747566,0.341,0
7,68609,465.2099008,0.1022,0.511,0.052,2.5,0.2063,26.81619376,0.417,1
8,48913,171.026541,0.0388,0.507,0.147,2.5,0.1837,10.333354,0.192,0
9,49492,336.0974757,0.0005,0.525,0.03,3.7,0.2026,9.680307834,0.229,0
10,52711,288.7942192,-0.0127,0.53,0.037,3.1,0.2095,4.415283947,0.321,0
11,54355,206.5792449,0.0016,0.508,0.087,2.6,0.1842,8.35568479,0.217,0
12,43670,90.4030321,0.0865,0.521,0.058,2.9,0.2164,17.25298045,0.165,0
13,77801,277.3521206,0.1039,0.517,0.058,2.2,0.1882,4.593435063,0.421,0
14,52307,158.3916838,0.0702,0.519,0.04,2.7,0.2105,14.32972702,0.303,0
15,45991,80.28518994,-0.0551,0.512,0.026,3.3,0.1752,31.48565041,0.116,0
16,82512,168.9463672,-0.0133,0.491,0.094,5.1,0.2482,41.66666667,0.353,1
17,74076,13.19790701,-0.0076,0.462,0.082,5.4,0.2576,30.97605551,0.326,0
18,62548,1.091175709,0.0087,0.502,0.036,8.9,0.1628,395.256917,0.374,0
19,53141,0.285451729,-0.0009,0.468,0.06,11.4,0.1457,465.5493482,0.234,0
20,85419,11.83375889,0.0219,0.491,0.07,4.4,0.2276,93.82623381,0.395,1
21,68625,3.652055438,0.0563,0.478,0.043,6.8,0.1902,51.10036111,0.233,0
22,75706,2.86122179,0.0305,0.489,0.056,6.2,0.2124,143.8745414,0.245,0
23,79669,1.984555038,-0.0457,0.469,0.086,5.6,0.2426,76.93491306,0.26,0
24,75856,4.40171688,0.1784,0.481,0.052,6.9,0.2159,18.46432231,0.212,0
25,80660,2.958883951,-0.0457,0.49,0.074,4.2,0.2231,117.7440245,0.326,1
26,74898,2.615376112,0.1817,0.476,0.067,9.2,0.2933,1690.617075,0.337,0
27,42063,0.035943834,-0.0685,0.472,0.031,14,0.1956,191.2045889,0.134,0
28,48650,20.42301835,-0.0431,0.494,0.357,5.7,0.1853,23.82427217,0.23,0
29,58301,7.705939427,0.0631,0.507,0.143,5.5,0.1996,62.72826117,0.356,1
30,68634,487.537422,0.149,0.506,0.314,4,0.2145,12.48491221,0.32,0
31,49712,15.94017437,0.0565,0.494,0.169,5.7,0.1499,28.277744,0.129,0
32,40676,11.14766791,0.0313,0.5,0.115,7.3,0.1776,18.03036313,0.158,0
33,56150,113.9953082,0.064,0.508,0.378,4.4,0.1894,18.14225245,0.319,1
34,54242,28.94060798,0.1024,0.511,0.147,4.4,0.1361,29.77469066,0.252,0
35,47024,38.77172836,0.0844,0.485,0.646,16.4,0.1993,9.355105783,0.148,0
36,41950,75.65088592,0.01,0.515,0.026,4,0.1435,71.54440523,0.183,0
37,70775,329.425496,0.2071,0.503,0.171,2.6,0.2253,32.24177029,0.324,0
38,50083,63.41923755,0.0141,0.507,0.026,3.2,0.1751,26.71511007,0.16,0
