LargestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,unemployment_rate,perc_age_25_39,brewery_per_1Mpeople
FALSE,59871,59871,140.4178178,0.1835,0.515,0.047,2.7,0.173,50.10773162
FALSE,47747,47747,187.50784,-0.0437,0.52,0.041,3.5,0.1924,20.94372421
FALSE,43047,43047,191.1583559,-0.0211,0.516,0.041,3.3,0.1814,23.23042256
FALSE,44322,44322,47.8964029,-0.031,0.509,0.031,3.3,0.1716,22.56215875
FALSE,54127,54127,592.627754,0.0002,0.527,0.041,2.9,0.2124,166.2756111
FALSE,48188,48188,138.8788627,0.0002,0.52,0.029,3.3,0.1756,41.50410891
FALSE,54160,54160,270.8349793,0.1477,0.509,0.037,2.7,0.204,18.46381093
FALSE,68609,68609,465.2099008,0.1022,0.511,0.052,2.5,0.2063,145.7534726
FALSE,48913,48913,171.026541,0.0388,0.507,0.147,2.5,0.1837,20.44446262
FALSE,49492,49492,336.0974757,0.0005,0.525,0.03,3.7,0.2026,80.82114281
FALSE,52711,52711,288.7942192,-0.0127,0.53,0.037,3.1,0.2095,18.9713722
FALSE,54355,54355,206.5792449,0.0016,0.508,0.087,2.6,0.1842,18.39757152
FALSE,43670,43670,90.4030321,0.0865,0.521,0.058,2.9,0.2164,22.89901534
FALSE,77801,77801,277.3521206,0.1039,0.517,0.058,2.2,0.1882,12.85330523
FALSE,52307,52307,158.3916838,0.0702,0.519,0.04,2.7,0.2105,57.35370027
FALSE,45991,45991,80.28518994,-0.0551,0.512,0.026,3.3,0.1752,43.48676915
FALSE,82512,82512,168.9463672,-0.0133,0.491,0.094,5.1,0.2482,145.4333915
FALSE,74076,74076,13.19790701,-0.0076,0.462,0.082,5.4,0.2576,40.49894703
FALSE,62548,62548,1.091175709,0.0087,0.502,0.036,8.9,0.1628,15.98772143
FALSE,53141,53141,0.285451729,-0.0009,0.468,0.06,11.4,0.1457,18.81786191
TRUE,85419,85419,11.83375889,0.0219,0.491,0.07,4.4,0.2276,35.12099182
FALSE,68625,68625,3.652055438,0.0563,0.478,0.043,6.8,0.1902,43.71584699
FALSE,75706,75706,2.86122179,0.0305,0.489,0.056,6.2,0.2124,26.41798536
FALSE,79669,79669,1.984555038,-0.0457,0.469,0.086,5.6,0.2426,12.55193363
FALSE,75856,75856,4.40171688,0.1784,0.481,0.052,6.9,0.2159,26.36574562
FALSE,80660,80660,2.958883951,-0.0457,0.49,0.074,4.2,0.2231,12.39771882
FALSE,74898,74898,2.615376112,0.1817,0.476,0.067,9.2,0.2933,26.70298272
FALSE,42063,42063,0.035943834,-0.0685,0.472,0.031,14,0.1956,23.77386302
FALSE,48650,48650,20.42301835,-0.0431,0.494,0.357,5.7,0.1853,61.66495375
FALSE,58301,58301,7.705939427,0.0631,0.507,0.143,5.5,0.1996,154.3712801
FALSE,68634,68634,487.537422,0.149,0.506,0.314,4,0.2145,815.9221377
FALSE,49712,49712,15.94017437,0.0565,0.494,0.169,5.7,0.1499,120.6952044
FALSE,40676,40676,11.14766791,0.0313,0.5,0.115,7.3,0.1776,49.16904317
FALSE,56150,56150,113.9953082,0.064,0.508,0.378,4.4,0.1894,338.3793411
FALSE,54242,54242,28.94060798,0.1024,0.511,0.147,4.4,0.1361,129.0512887
FALSE,47024,47024,38.77172836,0.0844,0.485,0.646,16.4,0.1993,42.53147329
FALSE,41950,41950,75.65088592,0.01,0.515,0.026,4,0.1435,71.51370679
FALSE,70775,70775,329.425496,0.2071,0.503,0.171,2.6,0.2253,127.1635465
FALSE,50083,50083,63.41923755,0.0141,0.507,0.026,3.2,0.1751,19.96685502
FALSE,43841,43841,45.04139904,0.0329,0.502,0.152,3.1,0.1619,22.80969868
FALSE,44105,44105,25.77146987,-0.0302,0.525,0.048,3.8,0.1577,22.67316631
FALSE,45786,45786,146.6343849,0.0338,0.519,0.059,3.7,0.1699,65.52221203
FALSE,47098,47098,78.45781281,0.0714,0.507,0.03,3.5,0.1965,21.23232409
FALSE,40233,40233,23.47492236,-0.0049,0.481,0.025,5.5,0.1584,24.85521835
FALSE,52684,52684,515.8332269,0.0234,0.523,0.062,3.4,0.2147,208.7920431
FALSE,48945,48945,240.3165191,0.0163,0.511,0.148,3.3,0.196,20.43109613
FALSE,52158,52158,253.9231777,0.151,0.5,0.171,2.4,0.2222,191.7251428
FALSE,107589,107589,2261.556906,0.0964,0.507,0.223,2.9,0.2492,362.4905892
FALSE,62640,62640,66.85694007,0.0418,0.456,0.145,3.8,0.1694,15.9642401
TRUE,58394,58394,133.9387851,-0.0037,0.505,0.172,5.1,0.1914,119.8753297
FALSE,68248,68248,45.0043725,0.0071,0.502,0.13,3.8,0.15,14.65244403
FALSE,59048,59048,18.72461939,0.0059,0.491,0.604,12.8,0.2018,16.93537461
FALSE,106555,106555,1611.211601,0.0906,0.511,0.26,3.1,0.1959,131.3875463
FALSE,48979,48979,27.63587656,-0.0287,0.454,0.201,5.7,0.2148,40.83382674
FALSE,86202,86202,112.9134724,0.0611,0.501,0.132,3.5,0.1602,197.2112016
FALSE,56926,56926,167.6909213,0.0687,0.501,0.538,7.2,0.2223,228.3666514
TRUE,51134,51134,37.99285143,0.0069,0.504,0.121,3.6,0.201,215.1210545
FALSE,48102,48102,43.38813146,0.0369,0.487,0.85,18.3,0.2149,41.57831275
FALSE,59605,59605,1.771850937,-0.0281,0.499,0.234,3.5,0.1745,33.55423203
FALSE,53245,53245,110.6998646,0.0673,0.488,0.546,7.7,0.2251,112.6866372
FALSE,57297,57297,110.0747074,-0.0003,0.449,0.553,7.9,0.2458,17.45292075
FALSE,46897,46897,51.24380802,-0.0043,0.5,0.22,5,0.1696,63.96997676
FALSE,53613,53613,6.732385211,-0.1414,0.378,0.193,4.6,0.2642,37.30438513
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,1691.395883
FALSE,61105,61105,73.61811902,0.0411,0.518,0.588,6.9,0.2056,65.46109156
FALSE,112069,112069,497.4495777,0.0248,0.511,0.163,2.3,0.1411,80.3076676
FALSE,52760,52760,11.87383353,-0.0609,0.491,0.121,4.6,0.1599,37.90750569
TRUE,52309,52309,24.74059155,-0.0126,0.504,0.258,4,0.1741,95.58584565
FALSE,59733,59733,143.5059525,0.0788,0.495,0.61,8.1,0.2123,16.74116485
FALSE,66226,66226,4.737318882,0.0168,0.47,0.268,3.7,0.2233,30.19961948
FALSE,76509,76509,132.3116691,0.0438,0.491,0.594,6.2,0.2116,52.28143094
FALSE,90230,90230,184.0606551,0.0091,0.502,0.346,2.8,0.1876,132.9934612
FALSE,69550,69550,104.1531805,0.0099,0.509,0.098,3.3,0.1541,43.13443566
FALSE,95761,95761,4016.975137,0.0521,0.507,0.34,2.8,0.2112,574.3465503
FALSE,97688,97688,283.1033774,0.1253,0.512,0.144,3.1,0.1762,133.0767341
TRUE,72905,72905,342.8228483,0.1137,0.501,0.5,4.2,0.2076,452.6438516
FALSE,71891,71891,1608.943818,0.0859,0.511,0.236,3.7,0.2308,431.2083571
FALSE,84209,84209,45.22758531,0.12,0.499,0.608,5,0.2091,23.75043048
FALSE,67398,67398,108.6948068,0.0665,0.502,0.544,3.8,0.223,370.9308882
TRUE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,1902.460036
TRUE,121795,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,303.7891539
FALSE,68458,68458,547.786925,0.1008,0.501,0.42,5.9,0.2098,116.8599725
FALSE,76599,76599,85.82848249,0.0476,0.494,0.229,2.9,0.1741,313.3200172
FALSE,135234,135234,1709.543541,0.0628,0.505,0.24,2,0.2263,88.73508141
FALSE,74530,74530,163.2486742,0.0506,0.5,0.46,3.7,0.1956,295.1831477
TRUE,132444,132444,1494.343074,0.0758,0.493,0.25,2.5,0.2398,203.8597445
FALSE,85770,85770,613.7273401,0.0396,0.505,0.34,4.7,0.1802,139.9090591
FALSE,61464,61464,47.69823187,0.0159,0.509,0.105,4.7,0.1908,48.80905896
FALSE,45954,45954,6.935295267,-0.0313,0.503,0.132,6.5,0.16,87.0435653
FALSE,85704,85704,544.7335917,0.0766,0.502,0.273,3.7,0.216,116.6806683
TRUE,87084,87084,313.6950304,0.0212,0.512,0.273,2.7,0.1931,367.4613017
FALSE,91446,91446,459.0043149,0.0268,0.505,0.432,3.6,0.199,164.0312315
FALSE,70951,70951,217.3079633,0.0891,0.515,0.319,4.1,0.1989,126.8481064
FALSE,75341,75341,443.1290803,0.1465,0.494,0.408,2.9,0.2441,132.7298549
FALSE,38213,38213,22.46337403,0.0485,0.501,0.476,3.6,0.2035,78.50731426
FALSE,82364,82364,822.6913921,0.1288,0.504,0.198,2.7,0.2349,242.824535
FALSE,57604,57604,10.39050493,0.1386,0.496,0.184,3.2,0.1484,34.71981112
TRUE,88341,88341,449.1270004,0.097,0.496,0.14,2.4,0.205,452.7908898
FALSE,106892,106892,2133.105285,0.2069,0.503,0.127,2.4,0.2302,46.77618531
FALSE,60331,60331,20.08677693,0.1251,0.47,0.1,2.4,0.1914,49.72568
FALSE,79900,79900,24.54285765,0.0631,0.471,0.076,2.5,0.1808,37.54693367
FALSE,51525,51525,27.28602075,0.0067,0.497,0.153,3.3,0.1532,58.22416303
FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,2.7,0.3279,954.1984733
FALSE,123697,123697,417.9170911,0.1871,0.5,0.091,2.4,0.1869,88.92697479
FALSE,89268,89268,32.72544864,0.0531,0.472,0.297,2.2,0.2372,33.60666756
FALSE,72675,72675,338.7260961,0.1362,0.495,0.177,3.3,0.2318,357.7571379
FALSE,52239,52239,31.2047476,0.0212,0.425,0.135,4.6,0.2149,38.28557208
FALSE,73788,73788,20.37649407,0.0611,0.489,0.293,2.7,0.2115,40.6570174
FALSE,74806,74806,41.64887655,0.1285,0.474,0.071,2.3,0.1688,13.36791166
FALSE,71029,71029,8.521770214,0.0566,0.465,0.096,2.1,0.208,42.23626969
FALSE,60408,60408,5.391003674,0.1224,0.459,0.096,2.1,0.2179,49.66229638
FALSE,61391,61391,0.733944297,-0.028,0.485,0.057,3.7,0.128,16.28903259
FALSE,89696,89696,762.725593,0.0829,0.501,0.156,2.5,0.2272,334.4630753
FALSE,56850,56850,21.56211944,0.1005,0.461,0.354,2.3,0.2457,17.59014952
FALSE,77829,77829,33.22600968,0.0869,0.496,0.128,2.5,0.206,77.0920865
TRUE,75332,75332,137.4802485,0.1605,0.502,0.119,2.4,0.2149,424.7862794
FALSE,43452,43452,3.03938758,-0.069,0.478,0.404,3.9,0.172,23.0139004
FALSE,60249,60249,46.32358198,0.0486,0.505,0.148,3.4,0.197,99.58671513
FALSE,52641,52641,12.90103556,0.0247,0.507,0.126,4.2,0.1695,94.98299804
FALSE,50707,50707,19.08247218,0.0347,0.508,0.209,3.1,0.1634,78.88457215
FALSE,43723,43723,14.48380734,-0.0303,0.51,0.422,4.1,0.1762,22.87125769
FALSE,72836,72836,9.143397348,0.1042,0.493,0.065,2.9,0.1383,54.91789774
FALSE,77221,77221,8.589937489,0.14,0.473,0.064,2.5,0.1587,12.94984525
FALSE,92820,92820,18.30334286,0.0348,0.482,0.105,3.1,0.2171,10.77354019
FALSE,51075,51075,70.58535588,0.0556,0.507,0.432,4.1,0.1954,78.31620166
FALSE,48496,48496,12.35473563,-0.0635,0.5,0.444,4.1,0.1812,20.62025734
FALSE,87691,87691,10.85424123,0.083,0.481,0.069,2.2,0.2201,34.21103648
FALSE,37004,37004,2.153683496,0.1049,0.503,0.364,4,0.1306,27.0241055
FALSE,50524,50524,1.878767859,0.0398,0.449,0.125,3,0.169,39.58514765
FALSE,77209,77209,6.357010783,0.1003,0.472,0.114,2.8,0.2294,25.90371589
FALSE,86570,86570,50.97491937,0.0973,0.453,0.146,1.8,0.2815,80.85942012
FALSE,70599,70599,45.57539202,0.0803,0.493,0.071,3.1,0.1488,56.65802632
FALSE,78160,78160,81.38265135,0.2209,0.494,0.3,2.5,0.2294,166.3254862
FALSE,52841,52841,4.237429713,-0.0024,0.499,0.251,1.6,0.1814,18.92469862
TRUE,96966,96966,1509.596889,0.0281,0.513,0.205,3.6,0.1769,165.0062909
FALSE,75336,75336,1213.064398,-0.0026,0.514,0.188,3.9,0.1993,252.2034618
FALSE,81015,81015,195.8948901,-0.0532,0.505,0.071,3.5,0.1614,86.40375239
FALSE,81721,81721,439.8471707,-0.0199,0.513,0.066,3.2,0.1742,61.18378385
FALSE,69687,69687,1413.97604,-0.009,0.518,0.191,3.9,0.1963,272.6476961
FALSE,75226,75226,398.8791929,-0.0334,0.498,0.111,3.6,0.1908,132.9327626
FALSE,90181,90181,367.4204196,-0.0131,0.5,0.059,3.3,0.1677,11.08881028
FALSE,63309,63309,227.6851689,-0.0141,0.504,0.124,4,0.1904,63.18216999
FALSE,58804,58804,308.414324,0.1022,0.518,0.074,4.2,0.198,68.0225835
FALSE,76076,76076,1310.746776,0.0363,0.516,0.104,3.7,0.2105,118.3027499
TRUE,64839,64839,250.2192657,0.1583,0.516,0.093,3.8,0.1495,169.6509817
FALSE,90395,90395,11560.5589,0.1474,0.526,0.113,5.5,0.3236,188.0634991
FALSE,49880,49880,307.4706864,0.0807,0.518,0.105,2.9,0.2158,120.2886929
FALSE,60454,60454,49.91191512,0.0717,0.474,0.028,3.1,0.2186,16.54150263
FALSE,58376,58376,230.3420488,0.0335,0.504,0.067,3.9,0.1985,51.3909826
FALSE,57582,57582,592.6585958,0.0973,0.511,0.109,3.2,0.1691,208.3984579
FALSE,61429,61429,1614.152928,0.1048,0.513,0.311,3,0.2028,227.9053867
FALSE,54756,54756,277.694887,0.1532,0.513,0.077,3.7,0.1148,18.26283878
FALSE,49762,49762,257.2769969,0.0563,0.515,0.061,4.8,0.1259,40.19131064
FALSE,76415,76415,192.6124092,0.1647,0.507,0.286,3.1,0.1435,52.34574364
FALSE,47087,47087,89.88006129,0.058,0.482,0.067,3.2,0.1921,21.23728418
FALSE,58339,58339,1256.579707,0.0976,0.515,0.105,3.3,0.2355,342.82384
FALSE,52822,52822,484.8970464,0.065,0.506,0.059,3.2,0.2084,94.65752906
FALSE,62831,62831,237.0550878,0.1684,0.519,0.109,3.8,0.137,15.9157104
FALSE,47504,47504,22.67520688,0.0475,0.431,0.057,3.5,0.2111,21.05085888
FALSE,50705,50705,410.3788259,0.109,0.518,0.148,4.2,0.1576,39.44384183
FALSE,45723,45723,104.484982,0.07,0.512,0.211,4.5,0.1416,21.87083087
TRUE,61133,61133,1442.803177,0.1649,0.511,0.297,3.1,0.2254,278.0822142
FALSE,61173,61173,318.0192972,0.1369,0.52,0.127,3.8,0.1374,49.04124369
FALSE,57660,57660,391.2248863,0.1909,0.516,0.167,3.2,0.1661,69.37218176
FALSE,62364,62364,982.2361134,0.197,0.51,0.225,3.1,0.1621,128.2791354
FALSE,55081,55081,440.2506103,0.0616,0.527,0.067,3.1,0.2042,90.7754035
FALSE,64151,64151,542.7866114,0.1994,0.517,0.169,3.1,0.1573,93.52932924
