fips_txt,Stabr,countyshort,countbrewpub,countcontract,countmicro,countregional,counttotal,countlargest,countbest,brewpubper10000,contractper10000,microper10000,regionalper10000,breweriesTOTALper10000,largestboolean,bestboolean,median_HHI_2019,bach_deg_pct_14to18,Latitude,Longitude,population2019,whitepercent,blackpercent,hispanicpercent,millennialpercent,genxpercent,boomerpercent,densitypermile,popchange,malepercent,femalepercent
8111,CO,San Juan,2,0,0,0,2,0,0,27.47252747,0,0,0,27.47252747,FALSE,FALSE,50524,34.5,37.78108,-107.670257,728,0.9464,0.0151,0.125,0.169,0.1964,0.3681,1.878767859,0.0398,0.551,0.449
2230,AK,Skagway Municipality,2,0,0,0,2,0,0,16.90617075,0,0,0,16.90617075,FALSE,FALSE,74898,33.7,59.5751,-135.335418,1183,0.8631,0.0144,0.0668,0.2933,0.224,0.2282,2.615376112,0.1817,0.524,0.476
35021,NM,Harding,0,0,1,0,1,0,0,0,0,16,0,16,FALSE,FALSE,38162,24.3,35.86315,-103.829931,625,0.9488,0.008,0.4688,0.136,0.128,0.4,0.294056483,-0.112,0.51,0.49
8053,CO,Hinsdale,1,0,0,0,1,0,0,12.19512195,0,0,0,12.19512195,FALSE,FALSE,61391,43.9,37.81163,-107.383405,820,0.9317,0.0256,0.0573,0.128,0.1488,0.3707,0.733944297,-0.028,0.515,0.485
8091,CO,Ouray,3,0,1,0,4,0,0,6.05815832,0,2.019386107,0,8.077544426,FALSE,FALSE,72836,48.6,38.1506,-107.767133,4952,0.96,0.0081,0.0652,0.1383,0.1852,0.391,9.143397348,0.1042,0.507,0.493
30059,MT,Meagher,0,0,1,0,1,0,0,0,0,5.37056928,0,5.37056928,FALSE,FALSE,43946,26.1,46.58571,-110.921781,1862,0.9683,0.0097,0.0183,0.1332,0.1445,0.3539,0.778456407,-0.0156,0.512,0.488
26083,MI,Keweenaw,0,0,1,0,1,0,0,0,0,4.725897921,0,4.725897921,FALSE,FALSE,47318,30.4,47.68198,-88.148802,2116,0.9726,0.0109,0.017,0.1153,0.1375,0.4112,3.917705957,-0.0189,0.511,0.489
30107,MT,Wheatland,0,0,1,0,1,0,0,0,0,4.703668862,0,4.703668862,FALSE,FALSE,42059,19.8,46.49705,-109.857147,2126,0.9276,0.0141,0.047,0.1279,0.1675,0.2916,1.493821999,-0.0198,0.518,0.482
2105,AK,Hoonah-Angoon Census Area,0,0,1,0,1,0,0,0,0,4.655493482,0,4.655493482,FALSE,FALSE,53141,23.4,58.07643,-135.1851,2148,0.4884,0.0363,0.0596,0.1457,0.1834,0.3515,0.285451729,-0.0009,0.532,0.468
36097,NY,Schuyler,5,0,2,0,8,0,0,2.80788454,0,1.123153816,0,4.492615264,FALSE,FALSE,52215,22.3,42.41978,-76.938604,17807,0.9635,0.018,0.0204,0.1712,0.1894,0.2961,54.23457283,-0.0301,0.498,0.502
54093,WV,Tucker,0,0,3,0,3,0,0,0,0,4.386606229,0,4.386606229,FALSE,FALSE,47222,17.5,39.11118,-79.559968,6839,0.9798,0.0085,0.0089,0.1674,0.1911,0.3189,16.32523477,-0.0442,0.509,0.491
2100,AK,Haines Borough,0,0,1,0,1,0,0,0,0,3.95256917,0,3.95256917,FALSE,FALSE,62548,37.4,59.09991,-135.578102,2530,0.7976,0.017,0.036,0.1628,0.1814,0.3486,1.091175709,0.0087,0.498,0.502
31133,NE,Pawnee,1,0,0,0,1,0,0,3.827018752,0,0,0,3.827018752,FALSE,FALSE,47006,17.5,40.13785,-96.245225,2613,0.9717,0.0122,0.0191,0.1374,0.1412,0.297,6.061590211,-0.0612,0.493,0.507
20063,KS,Gove,0,0,0,0,1,0,0,0,0,0,0,3.793626707,FALSE,FALSE,52986,22.7,38.91724,-100.48736,2636,0.9712,0.0121,0.0311,0.1517,0.1449,0.272,2.459723888,-0.0224,0.5,0.5
48095,TX,Concho,1,0,0,0,1,0,0,3.668378577,0,0,0,3.668378577,FALSE,FALSE,43321,11.9,31.31887,-99.863648,2726,0.9373,0.0282,0.3474,0.1522,0.1893,0.3037,2.770891208,-0.4993,0.532,0.468
8019,CO,Clear Creek,1,0,2,0,3,0,0,1.030927835,0,2.06185567,0,3.092783505,FALSE,FALSE,79900,46.5,39.6894,-105.670791,9700,0.9416,0.0177,0.076,0.1808,0.2145,0.3376,24.54285765,0.0631,0.529,0.471
30091,MT,Sheridan,0,0,1,0,1,0,0,0,0,3.022061046,0,3.022061046,FALSE,FALSE,51111,23.6,48.70552,-104.533913,3309,0.9299,0.0136,0.0417,0.1677,0.1599,0.2947,1.973072245,-0.0227,0.514,0.486
30039,MT,Granite,0,0,1,0,1,0,0,0,0,2.95945546,0,2.95945546,FALSE,FALSE,49646,26.6,46.39536,-113.425683,3379,0.9612,0.0077,0.0243,0.1367,0.1512,0.3874,1.956102037,0.0888,0.512,0.488
26039,MI,Crawford,2,0,2,0,4,0,0,1.425618362,0,1.425618362,0,2.851236724,FALSE,FALSE,49114,18.8,44.68021,-84.611132,14029,0.9599,0.0146,0.0222,0.1475,0.1682,0.3352,25.21931401,-0.0032,0.511,0.489
51157,VA,Rappahannock,0,0,2,0,2,0,0,0,0,2.713704206,0,2.713704206,FALSE,FALSE,79086,32.9,38.68452,-78.168824,7370,0.9236,0.0518,0.0438,0.1398,0.1767,0.337,27.68314258,-0.0004,0.492,0.508
27077,MN,Lake of the Woods,0,0,0,0,1,0,0,0,0,0,0,2.673796791,FALSE,FALSE,56244,19.3,48.7681,-94.904634,3740,0.9406,0.0174,0.0171,0.146,0.1695,0.3398,2.881646761,-0.0816,0.525,0.475
16085,ID,Valley,2,0,1,0,3,0,0,1.755617978,0,0.877808989,0,2.633426966,FALSE,FALSE,64041,30.1,44.77153,-115.637875,11392,0.9583,0.0077,0.0467,0.1601,0.1815,0.3415,3.108733352,0.1343,0.519,0.481
41027,OR,Hood River,1,0,3,2,6,1,0,0.427679412,0,1.283038235,0.855358823,2.566076469,TRUE,FALSE,68835,31.6,45.51178,-121.655976,23382,0.9332,0.0139,0.3185,0.1934,0.1953,0.2295,44.79748021,0.0443,0.5,0.5
30071,MT,Phillips,0,0,0,0,1,0,0,0,0,0,0,2.529084471,FALSE,FALSE,47679,20.5,48.25016,-107.928833,3954,0.8538,0.0094,0.0377,0.1548,0.1454,0.2984,0.769255462,-0.0756,0.505,0.495
35007,NM,Colfax,2,0,1,0,3,0,0,1.6749016,0,0.8374508,0,2.512352399,FALSE,FALSE,42754,20.5,36.61296,-104.640126,11941,0.9307,0.0141,0.4921,0.1581,0.1558,0.3255,3.177437295,-0.1515,0.508,0.492
53013,WA,Columbia,1,0,0,0,1,0,0,2.509410289,0,0,0,2.509410289,FALSE,FALSE,56338,24.9,46.29285,-117.911635,3985,0.9112,0.0183,0.079,0.1533,0.1591,0.3235,4.587689336,-0.0233,0.488,0.512
41007,OR,Clatsop,4,0,4,1,10,0,0,0.994431185,0,0.994431185,0.248607796,2.486077963,FALSE,FALSE,59339,24.6,46.02451,-123.705014,40224,0.9257,0.0161,0.0864,0.1843,0.167,0.3034,48.51824199,0.0792,0.495,0.505
53059,WA,Skamania,0,0,3,0,3,0,0,0,0,2.482827112,0,2.482827112,FALSE,FALSE,69163,23.8,46.02478,-121.953227,12083,0.9284,0.0142,0.0683,0.1639,0.1896,0.3219,7.297921032,0.0842,0.509,0.491
8113,CO,San Miguel,1,0,0,0,2,0,0,1.222643355,0,0,0,2.44528671,FALSE,FALSE,77209,56.7,38.00937,-108.427326,8179,0.9499,0.015,0.1144,0.2294,0.2344,0.2634,6.357010783,0.1003,0.528,0.472
36031,NY,Essex,4,0,2,0,9,0,0,1.084451674,0,0.542225837,0,2.440016267,FALSE,FALSE,55091,27.6,44.10897,-73.777573,36885,0.9448,0.0328,0.0301,0.1756,0.186,0.3081,20.557588,-0.0674,0.517,0.483
32029,NV,Storey,1,0,0,0,1,0,0,2.425418385,0,0,0,2.425418385,FALSE,FALSE,88003,28.7,39.43839,-119.524646,4123,0.9093,0.0257,0.08,0.1302,0.1705,0.4184,15.68157614,0.0274,0.512,0.488
54075,WV,Pocahontas,0,0,0,0,2,0,0,0,0,0,0,2.425124288,FALSE,FALSE,39454,16.3,38.33251,-80.012092,8247,0.9664,0.0189,0.0169,0.1603,0.177,0.3182,8.770754368,-0.0572,0.512,0.488
31175,NE,Valley,0,0,1,0,1,0,0,0,0,2.405002405,0,2.405002405,FALSE,FALSE,47981,22.8,41.56409,-98.983484,4158,0.9776,0.0082,0.0344,0.1558,0.1604,0.2646,7.31980396,-0.0245,0.499,0.501
