fips_txt,breweriesTOTALper10000,brewery_per_1Mpeople,median_HHI_2019,bach_deg_pct_14to18,population2019,perc_hispanic,perc_age_25_39,pop_density_per_mile,change_in_pop_decade,perc_female,
8111,27.47252747,2747.252747,50524,34.5,728,0.125,0.169,1.878767859,0.0398,0.449,
2230,16.90617075,1690.617075,74898,33.7,1183,0.0668,0.2933,2.615376112,0.1817,0.476,
35021,16,1600,38162,24.3,625,0.4688,0.136,0.294056483,-0.112,0.49,
8053,12.19512195,1219.512195,61391,43.9,820,0.0573,0.128,0.733944297,-0.028,0.485,
8091,8.077544426,807.7544426,72836,48.6,4952,0.0652,0.1383,9.143397348,0.1042,0.493,
30059,5.37056928,537.056928,43946,26.1,1862,0.0183,0.1332,0.778456407,-0.0156,0.488,
26083,4.725897921,472.5897921,47318,30.4,2116,0.017,0.1153,3.917705957,-0.0189,0.489,
30107,4.703668862,470.3668862,42059,19.8,2126,0.047,0.1279,1.493821999,-0.0198,0.482,
2105,4.655493482,465.5493482,53141,23.4,2148,0.0596,0.1457,0.285451729,-0.0009,0.468,
36097,4.492615264,449.2615264,52215,22.3,17807,0.0204,0.1712,54.23457283,-0.0301,0.502,
54093,4.386606229,438.6606229,47222,17.5,6839,0.0089,0.1674,16.32523477,-0.0442,0.491,
2100,3.95256917,395.256917,62548,37.4,2530,0.036,0.1628,1.091175709,0.0087,0.502,
31133,3.827018752,382.7018752,47006,17.5,2613,0.0191,0.1374,6.061590211,-0.0612,0.507,
20063,3.793626707,379.3626707,52986,22.7,2636,0.0311,0.1517,2.459723888,-0.0224,0.5,
48095,3.668378577,366.8378577,43321,11.9,2726,0.3474,0.1522,2.770891208,-0.4993,0.468,
8019,3.092783505,309.2783505,79900,46.5,9700,0.076,0.1808,24.54285765,0.0631,0.471,
30091,3.022061046,302.2061046,51111,23.6,3309,0.0417,0.1677,1.973072245,-0.0227,0.486,
30039,2.95945546,295.945546,49646,26.6,3379,0.0243,0.1367,1.956102037,0.0888,0.488,
26039,2.851236724,285.1236724,49114,18.8,14029,0.0222,0.1475,25.21931401,-0.0032,0.489,
51157,2.713704206,271.3704206,79086,32.9,7370,0.0438,0.1398,27.68314258,-0.0004,0.508,
27077,2.673796791,267.3796791,56244,19.3,3740,0.0171,0.146,2.881646761,-0.0816,0.475,
16085,2.633426966,263.3426966,64041,30.1,11392,0.0467,0.1601,3.108733352,0.1343,0.481,
41027,2.566076469,256.6076469,68835,31.6,23382,0.3185,0.1934,44.79748021,0.0443,0.5,
30071,2.529084471,252.9084471,47679,20.5,3954,0.0377,0.1548,0.769255462,-0.0756,0.495,
35007,2.512352399,251.2352399,42754,20.5,11941,0.4921,0.1581,3.177437295,-0.1515,0.492,
53013,2.509410289,250.9410289,56338,24.9,3985,0.079,0.1533,4.587689336,-0.0233,0.512,
41007,2.486077963,248.6077963,59339,24.6,40224,0.0864,0.1843,48.51824199,0.0792,0.505,
53059,2.482827112,248.2827112,69163,23.8,12083,0.0683,0.1639,7.297921032,0.0842,0.491,
8113,2.44528671,244.528671,77209,56.7,8179,0.1144,0.2294,6.357010783,0.1003,0.472,
36031,2.440016267,244.0016267,55091,27.6,36885,0.0301,0.1756,20.557588,-0.0674,0.483,
32029,2.425418385,242.5418385,88003,28.7,4123,0.08,0.1302,15.68157614,0.0274,0.488,
54075,2.425124288,242.5124288,39454,16.3,8247,0.0169,0.1603,8.770754368,-0.0572,0.488,
31175,2.405002405,240.5002405,47981,22.8,4158,0.0344,0.1558,7.31980396,-0.0245,0.501,
27069,2.326663564,232.6663564,62762,23.9,4298,0.0249,0.1417,3.911525622,-0.0591,0.502,
53055,2.275054033,227.5054033,69113,48.6,17582,0.0678,0.1322,101.0953627,0.1031,0.517,
56017,2.266032178,226.6032178,52344,23.1,4413,0.0446,0.1473,2.201994719,-0.0904,0.495,
8117,2.257263552,225.7263552,86570,51,31011,0.1461,0.2815,50.97491937,0.0973,0.453,
53069,2.228163993,222.8163993,61123,19,4488,0.0575,0.1201,17.04034172,0.1136,0.501,
26003,2.195871761,219.5871761,52285,17.4,9108,0.0171,0.1738,9.953336903,-0.0541,0.447,
42093,2.194185409,219.4185409,65534,32.8,18230,0.0289,0.1964,139.9702093,-0.002,0.515,
