BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,unemployment_rate,perc_age_25_39,brewery_per_1M_people,brewery_count
FALSE,54127,54127,592.627754,0.0002,0.527,0.041,2.9,0.2124,13.66591099,9
FALSE,54127,54127,592.627754,0.0002,0.527,0.041,2.9,0.2124,13.66591099,9
FALSE,68609,68609,465.2099008,0.1022,0.511,0.052,2.5,0.2063,26.81619376,10
FALSE,82512,82512,168.9463672,-0.0133,0.491,0.094,5.1,0.2482,41.66666667,12
FALSE,56150,56150,113.9953082,0.064,0.508,0.378,4.4,0.1894,18.14225245,19
FALSE,68634,68634,487.537422,0.149,0.506,0.314,4,0.2145,12.48491221,56
FALSE,68634,68634,487.537422,0.149,0.506,0.314,4,0.2145,12.48491221,56
FALSE,56150,56150,113.9953082,0.064,0.508,0.378,4.4,0.1894,18.14225245,19
FALSE,56150,56150,113.9953082,0.064,0.508,0.378,4.4,0.1894,18.14225245,19
FALSE,58301,58301,7.705939427,0.0631,0.507,0.143,5.5,0.1996,62.72826117,9
FALSE,49712,49712,15.94017437,0.0565,0.494,0.169,5.7,0.1499,28.277744,6
FALSE,68634,68634,487.537422,0.149,0.506,0.314,4,0.2145,12.48491221,56
FALSE,68634,68634,487.537422,0.149,0.506,0.314,4,0.2145,12.48491221,56
FALSE,68634,68634,487.537422,0.149,0.506,0.314,4,0.2145,12.48491221,56
FALSE,68634,68634,487.537422,0.149,0.506,0.314,4,0.2145,12.48491221,56
FALSE,52684,52684,515.8332269,0.0234,0.523,0.062,3.4,0.2147,28.06759698,11
FALSE,52684,52684,515.8332269,0.0234,0.523,0.062,3.4,0.2147,28.06759698,11
FALSE,41950,41950,75.65088592,0.01,0.515,0.026,4,0.1435,71.54440523,3
FALSE,70775,70775,329.425496,0.2071,0.503,0.171,2.6,0.2253,32.24177029,9
FALSE,76599,76599,85.82848249,0.0476,0.494,0.229,2.9,0.1741,84.77240376,24
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,107589,107589,2261.556906,0.0964,0.507,0.223,2.9,0.2492,23.33472344,39
FALSE,97688,97688,283.1033774,0.1253,0.512,0.144,3.1,0.1762,32.6363383,13
FALSE,95761,95761,4016.975137,0.0521,0.507,0.34,2.8,0.2112,17.31905991,55
FALSE,87084,87084,313.6950304,0.0212,0.512,0.273,2.7,0.1931,64.73329881,32
FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,41.97157503,37
FALSE,56776,56776,96.63644759,0.0515,0.5,0.656,9.6,0.2103,6.435075451,3
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577,123
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,132444,132444,1494.343074,0.0758,0.493,0.25,2.5,0.2398,14.00522447,27
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,52307,52307,158.3916838,0.0702,0.519,0.04,2.7,0.2105,14.32972702,3
FALSE,85419,85419,11.83375889,0.0219,0.491,0.07,4.4,0.2276,93.82623381,3
FALSE,87084,87084,313.6950304,0.0212,0.512,0.273,2.7,0.1931,64.73329881,32
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577,123
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577,123
FALSE,107589,107589,2261.556906,0.0964,0.507,0.223,2.9,0.2492,23.33472344,39
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,67398,67398,108.6948068,0.0665,0.502,0.544,3.8,0.223,11.46744278,25
FALSE,107589,107589,2261.556906,0.0964,0.507,0.223,2.9,0.2492,23.33472344,39
FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,41.97157503,37
FALSE,71891,71891,1608.943818,0.0859,0.511,0.236,3.7,0.2308,19.97348037,31
FALSE,132444,132444,1494.343074,0.0758,0.493,0.25,2.5,0.2398,14.00522447,27
FALSE,132444,132444,1494.343074,0.0758,0.493,0.25,2.5,0.2398,14.00522447,27
FALSE,67398,67398,108.6948068,0.0665,0.502,0.544,3.8,0.223,11.46744278,25
FALSE,132444,132444,1494.343074,0.0758,0.493,0.25,2.5,0.2398,14.00522447,27
FALSE,68458,68458,547.786925,0.1008,0.501,0.42,5.9,0.2098,10.49664894,8
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577,123
FALSE,112069,112069,497.4495777,0.0248,0.511,0.163,2.3,0.1411,34.77239535,9
FALSE,70951,70951,217.3079633,0.0891,0.515,0.319,4.1,0.1989,40.81632653,9
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577,123
FALSE,95761,95761,4016.975137,0.0521,0.507,0.34,2.8,0.2112,17.31905991,55
FALSE,76599,76599,85.82848249,0.0476,0.494,0.229,2.9,0.1741,84.77240376,24
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577,123
FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,41.97157503,37
FALSE,112069,112069,497.4495777,0.0248,0.511,0.163,2.3,0.1411,34.77239535,9
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,97688,97688,283.1033774,0.1253,0.512,0.144,3.1,0.1762,32.6363383,13
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577,123
FALSE,132444,132444,1494.343074,0.0758,0.493,0.25,2.5,0.2398,14.00522447,27
FALSE,135234,135234,1709.543541,0.0628,0.505,0.24,2,0.2263,15.65408643,12
TRUE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,85704,85704,544.7335917,0.0766,0.502,0.273,3.7,0.216,22.33923015,10
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
TRUE,85770,85770,613.7273401,0.0396,0.505,0.34,4.7,0.1802,43.92177532,12
FALSE,56926,56926,167.6909213,0.0687,0.501,0.538,7.2,0.2223,13.01169752,13
FALSE,87084,87084,313.6950304,0.0212,0.512,0.273,2.7,0.1931,64.73329881,32
FALSE,86202,86202,112.9134724,0.0611,0.501,0.132,3.5,0.1602,88.15461282,17
FALSE,112069,112069,497.4495777,0.0248,0.511,0.163,2.3,0.1411,34.77239535,9
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,41.97157503,37
FALSE,97688,97688,283.1033774,0.1253,0.512,0.144,3.1,0.1762,32.6363383,13
FALSE,95761,95761,4016.975137,0.0521,0.507,0.34,2.8,0.2112,17.31905991,55
FALSE,68458,68458,547.786925,0.1008,0.501,0.42,5.9,0.2098,10.49664894,8
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,91446,91446,459.0043149,0.0268,0.505,0.432,3.6,0.199,17.73037071,15
FALSE,71891,71891,1608.943818,0.0859,0.511,0.236,3.7,0.2308,19.97348037,31
FALSE,76599,76599,85.82848249,0.0476,0.494,0.229,2.9,0.1741,84.77240376,24
FALSE,71891,71891,1608.943818,0.0859,0.511,0.236,3.7,0.2308,19.97348037,31
FALSE,72721,72721,2473.975846,0.022,0.507,0.486,4.4,0.2348,12.25208577,123
FALSE,54242,54242,28.94060798,0.1024,0.511,0.147,4.4,0.1361,29.77469066,7
FALSE,107589,107589,2261.556906,0.0964,0.507,0.223,2.9,0.2492,23.33472344,39
FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,41.97157503,37
FALSE,123697,123697,417.9170911,0.1871,0.5,0.091,2.4,0.1869,31.32528748,11
FALSE,89696,89696,762.725593,0.0829,0.501,0.156,2.5,0.2272,51.46848156,30
FALSE,70599,70599,45.57539202,0.0803,0.493,0.071,3.1,0.1488,157.5547503,4
FALSE,75341,75341,443.1290803,0.1465,0.494,0.408,2.9,0.2441,19.32662184,10
FALSE,52684,52684,515.8332269,0.0234,0.523,0.062,3.4,0.2147,28.06759698,11
FALSE,72675,72675,338.7260961,0.1362,0.495,0.177,3.3,0.2318,36.09091023,26
FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,2.7,0.3279,99.00840334,72
FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,2.7,0.3279,99.00840334,72
FALSE,88341,88341,449.1270004,0.097,0.496,0.14,2.4,0.205,122.6256606,40
FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,2.4,0.2149,89.66122068,32
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,73788,73788,20.37649407,0.0611,0.489,0.293,2.7,0.2115,49.94921829,3
FALSE,60408,60408,5.391003674,0.1224,0.459,0.096,2.1,0.2179,171.8016264,3
FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,2.4,0.2149,89.66122068,32
FALSE,89696,89696,762.725593,0.0829,0.501,0.156,2.5,0.2272,51.46848156,30
FALSE,72675,72675,338.7260961,0.1362,0.495,0.177,3.3,0.2318,36.09091023,26
FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,2.4,0.2149,89.66122068,32
FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,2.4,0.2149,89.66122068,32
FALSE,72675,72675,338.7260961,0.1362,0.495,0.177,3.3,0.2318,36.09091023,26
FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,2.7,0.3279,99.00840334,72
FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,2.4,0.2149,89.66122068,32
FALSE,78160,78160,81.38265135,0.2209,0.494,0.3,2.5,0.2294,40.06262096,13
FALSE,89696,89696,762.725593,0.0829,0.501,0.156,2.5,0.2272,51.46848156,30
FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,2.7,0.3279,99.00840334,72
FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,2.7,0.3279,99.00840334,72
FALSE,88341,88341,449.1270004,0.097,0.496,0.14,2.4,0.205,122.6256606,40
FALSE,70599,70599,45.57539202,0.0803,0.493,0.071,3.1,0.1488,157.5547503,4
FALSE,51075,51075,70.58535588,0.0556,0.507,0.432,4.1,0.1954,23.74958438,4
FALSE,96966,96966,1509.596889,0.0281,0.513,0.205,3.6,0.1769,16.96115472,16
FALSE,69687,69687,1413.97604,-0.009,0.518,0.191,3.9,0.1963,22.22853981,19
FALSE,69687,69687,1413.97604,-0.009,0.518,0.191,3.9,0.1963,22.22853981,19
FALSE,75336,75336,1213.064398,-0.0026,0.514,0.188,3.9,0.1993,21.30713677,19
FALSE,69687,69687,1413.97604,-0.009,0.518,0.191,3.9,0.1963,22.22853981,19
FALSE,96966,96966,1509.596889,0.0281,0.513,0.205,3.6,0.1769,16.96115472,16
FALSE,69687,69687,1413.97604,-0.009,0.518,0.191,3.9,0.1963,22.22853981,19
FALSE,76076,76076,1310.746776,0.0363,0.516,0.104,3.7,0.2105,16.10729607,9
FALSE,58804,58804,308.414324,0.1022,0.518,0.074,4.2,0.198,22.12560707,4
FALSE,90395,90395,11560.5589,0.1474,0.526,0.113,5.5,0.3236,24.08788394,17
FALSE,61133,61133,1442.803177,0.1649,0.511,0.297,3.1,0.2254,11.54916411,17
FALSE,66258,66258,780.2967611,0.1252,0.524,0.096,3.1,0.1259,13.83310816,6
FALSE,61133,61133,1442.803177,0.1649,0.511,0.297,3.1,0.2254,11.54916411,17
FALSE,56708,56708,3560.991822,0.06,0.52,0.102,3,0.1787,37.94887364,37
FALSE,57582,57582,592.6585958,0.0973,0.511,0.109,3.2,0.1691,19.93547551,12
FALSE,56708,56708,3560.991822,0.06,0.52,0.102,3,0.1787,37.94887364,37
FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,41.97157503,37
FALSE,57582,57582,592.6585958,0.0973,0.511,0.109,3.2,0.1691,19.93547551,12
FALSE,56708,56708,3560.991822,0.06,0.52,0.102,3,0.1787,37.94887364,37
FALSE,57660,57660,391.2248863,0.1909,0.516,0.167,3.2,0.1661,10.89567932,4
FALSE,61429,61429,1614.152928,0.1048,0.513,0.311,3,0.2028,7.169273722,14
FALSE,69954,69954,1525.853677,0.1041,0.516,0.225,2.9,0.219,14.83597767,7
FALSE,54991,54991,1431.689462,0.0812,0.514,0.694,2.4,0.209,6.625100297,18
FALSE,64151,64151,542.7866114,0.1994,0.517,0.169,3.1,0.1573,14.87899656,6
FALSE,61429,61429,1614.152928,0.1048,0.513,0.311,3,0.2028,7.169273722,14
FALSE,55081,55081,440.2506103,0.0616,0.527,0.067,3.1,0.2042,17.03101689,5
FALSE,63133,63133,1542.403443,0.1776,0.509,0.327,2.9,0.2428,13.63520236,19
FALSE,58339,58339,1256.579707,0.0976,0.515,0.105,3.3,0.2355,20.88216715,20
FALSE,61133,61133,1442.803177,0.1649,0.511,0.297,3.1,0.2254,11.54916411,17
FALSE,63133,63133,1542.403443,0.1776,0.509,0.327,2.9,0.2428,13.63520236,19
FALSE,58376,58376,230.3420488,0.0335,0.504,0.067,3.9,0.1985,17.1718039,3
FALSE,79235,79235,2020.255015,0.1347,0.516,0.072,3.5,0.2469,23.49763191,25
FALSE,79235,79235,2020.255015,0.1347,0.516,0.072,3.5,0.2469,23.49763191,25
FALSE,41036,41036,1076.602349,0.0905,0.526,0.11,3.6,0.2265,31.16939789,4
FALSE,79235,79235,2020.255015,0.1347,0.516,0.072,3.5,0.2469,23.49763191,25
FALSE,86946,86946,1622.262765,0.0219,0.498,0.1,2.6,0.2201,12.31321115,12
FALSE,86946,86946,1622.262765,0.0219,0.498,0.1,2.6,0.2201,12.31321115,12
FALSE,72295,72295,457.5318077,0.1853,0.499,0.085,2.5,0.2173,37.3764242,18
FALSE,72295,72295,457.5318077,0.1853,0.499,0.085,2.5,0.2173,37.3764242,18
FALSE,96354,96354,2818.087994,0.0065,0.508,0.146,2.9,0.1935,22.7538435,21
FALSE,57772,57772,331.7751546,-0.0399,0.507,0.132,4.9,0.1862,35.24129716,5
FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,3.8,0.2354,16.50410768,85
FALSE,53485,53485,210.4749133,0.0411,0.503,0.063,3.8,0.2013,23.84483688,5
FALSE,96354,96354,2818.087994,0.0065,0.508,0.146,2.9,0.1935,22.7538435,21
FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,3.8,0.2354,16.50410768,85
FALSE,90249,90249,825.3511736,0.0191,0.504,0.182,3.8,0.1858,17.37259733,12
FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,3.8,0.2354,16.50410768,85
FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,3.8,0.2354,16.50410768,85
FALSE,90249,90249,825.3511736,0.0191,0.504,0.182,3.8,0.1858,17.37259733,12
FALSE,96354,96354,2818.087994,0.0065,0.508,0.146,2.9,0.1935,22.7538435,21
FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,3.8,0.2354,16.50410768,85
FALSE,92638,92638,1569.939369,-0.0099,0.5,0.224,4.1,0.1745,24.40652659,17
FALSE,59510,59510,550.4341965,-0.0449,0.512,0.135,5.7,0.1867,21.23352632,6
FALSE,57280,57280,973.0079104,-0.0217,0.516,0.196,4.9,0.1888,24.71714319,12
FALSE,57280,57280,973.0079104,-0.0217,0.516,0.196,4.9,0.1888,24.71714319,12
FALSE,56427,56427,183.6673636,-0.0144,0.485,0.069,4.3,0.1965,36.40069889,4
FALSE,107710,107710,857.3149668,0.1877,0.512,0.043,2.5,0.196,38.4602868,13
FALSE,107710,107710,857.3149668,0.1877,0.512,0.043,2.5,0.196,38.4602868,13
FALSE,55782,55782,445.4973336,0.0426,0.506,0.168,3.1,0.1901,19.38538633,4
FALSE,50707,50707,2433.981499,0.0634,0.518,0.109,3.3,0.2395,29.02811788,28
FALSE,64614,64614,530.78717,0.0502,0.515,0.035,3.2,0.1959,50.94113752,4
FALSE,50707,50707,2433.981499,0.0634,0.518,0.109,3.3,0.2395,29.02811788,28
FALSE,56427,56427,183.6673636,-0.0144,0.485,0.069,4.3,0.1965,36.40069889,4
FALSE,53113,53113,376.2423671,0.0705,0.503,0.036,3.3,0.2016,53.89709697,8
FALSE,64783,64783,316.239817,0.0683,0.507,0.034,2.9,0.2042,35.28799414,8
FALSE,65724,65724,377.5314404,0.0446,0.509,0.07,3.3,0.2005,34.69351174,6
FALSE,64783,64783,316.239817,0.0683,0.507,0.034,2.9,0.2042,35.28799414,8
FALSE,64783,64783,316.239817,0.0683,0.507,0.034,2.9,0.2042,35.28799414,8
FALSE,67331,67331,854.2441116,0.1214,0.507,0.087,2.8,0.2279,26.52189791,13
FALSE,62559,62559,268.187711,0.0935,0.502,0.065,2.9,0.2081,32.71742776,4
FALSE,59451,59451,325.128305,-0.006,0.516,0.128,3.3,0.1875,22.61484099,4
FALSE,59025,59025,2015.575055,0.0335,0.517,0.059,4,0.2145,26.08388316,20
FALSE,59025,59025,2015.575055,0.0335,0.517,0.059,4,0.2145,26.08388316,20
FALSE,66520,66520,618.5000132,0.0347,0.509,0.022,3.5,0.214,53.4279364,5
FALSE,58981,58981,1139.267193,0.0846,0.511,0.074,3.3,0.2216,34.03970887,11
FALSE,59025,59025,2015.575055,0.0335,0.517,0.059,4,0.2145,26.08388316,20
FALSE,45092,45092,2302.780614,0.1187,0.528,0.055,4.9,0.2525,33.32103018,13
FALSE,45092,45092,2302.780614,0.1187,0.528,0.055,4.9,0.2525,33.32103018,13
FALSE,45333,45333,12.86412226,-0.0345,0.503,0.012,4.5,0.1644,59.42476824,3
FALSE,75254,75254,353.1950659,0.0452,0.516,0.022,2.4,0.2039,115.2530652,34
FALSE,75254,75254,353.1950659,0.0452,0.516,0.022,2.4,0.2039,115.2530652,34
FALSE,50702,50702,44.784159,-0.0117,0.504,0.015,3.2,0.1906,78.87057339,12
FALSE,50344,50344,27.91500549,0.0024,0.506,0.015,3.6,0.162,51.74644243,3
FALSE,75254,75254,353.1950659,0.0452,0.516,0.022,2.4,0.2039,115.2530652,34
FALSE,102951,102951,393.1213942,0.1008,0.507,0.105,3.2,0.197,42.38153398,11
FALSE,102951,102951,393.1213942,0.1008,0.507,0.105,3.2,0.197,42.38153398,11
FALSE,54351,54351,276.7009219,0.0471,0.527,0.055,4.6,0.1793,38.60668475,4
FALSE,102951,102951,393.1213942,0.1008,0.507,0.105,3.2,0.197,42.38153398,11
FALSE,85357,85357,1883.869805,0.0505,0.519,0.195,3.8,0.215,5.498572021,5
FALSE,110012,110012,2138.787674,0.0751,0.516,0.201,2.9,0.1956,10.46933057,11
FALSE,101810,101810,376.3379841,0.0078,0.505,0.039,2.9,0.1782,17.80975618,3
FALSE,110012,110012,2138.787674,0.0751,0.516,0.201,2.9,0.1956,10.46933057,11
FALSE,49780,49780,7332.106147,-0.0463,0.531,0.057,5.1,0.263,26.9591737,16
FALSE,60143,60143,100.3547737,-0.017,0.513,0.042,2.7,0.18,113.9925905,8
FALSE,58805,58805,134.8086208,-0.0502,0.517,0.051,3.5,0.1636,48.02151364,6
FALSE,74142,74142,305.0326692,0.0171,0.534,0.059,2.7,0.1567,93.26618168,15
FALSE,75843,75843,13823.76105,0.1019,0.517,0.233,2.6,0.3082,17.41494974,14
FALSE,90584,90584,790.8083299,0.0504,0.514,0.042,3,0.1698,23.0237029,12
FALSE,106543,106543,1970.733061,0.0674,0.51,0.083,2.3,0.2257,18.61389751,30
FALSE,106543,106543,1970.733061,0.0674,0.51,0.083,2.3,0.2257,18.61389751,30
