median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_per_1M_people,unemployment_rate,perc_age_25_39,LargestList
59871,31.3,140.4178178,0.18,0.52,0.05,13.43881308,2.7,0.17,FALSE
54127,32.4,592.627754,0.00,0.53,0.04,13.66591099,2.9,0.21,FALSE
68609,41.7,465.2099008,0.10,0.51,0.05,26.81619376,2.5,0.21,FALSE
49492,22.9,336.0974757,0.00,0.53,0.03,9.680307834,3.7,0.2,FALSE
52307,30.3,158.3916838,0.07,0.52,0.04,14.32972702,2.7,0.21,FALSE
82512,35.3,168.9463672,-0.01,0.49,0.09,41.66666667,5.1,0.25,FALSE
74076,32.6,13.19790701,-0.01,0.46,0.08,30.97605551,5.4,0.26,FALSE
85419,39.5,11.83375889,0.02,0.49,0.07,93.82623381,4.4,0.23,FALSE
68625,23.3,3.652055438,0.06,0.48,0.04,51.10036111,6.8,0.19,FALSE
48650,23,20.42301835,-0.04,0.49,0.36,23.82427217,5.7,0.19,FALSE
58301,35.6,7.705939427,0.06,0.51,0.14,62.72826117,5.5,0.2,FALSE
68634,32,487.537422,0.15,0.51,0.31,12.48491221,4,0.21,FALSE
49712,12.9,15.94017437,0.06,0.49,0.17,28.277744,5.7,0.15,FALSE
56150,31.9,113.9953082,0.06,0.51,0.38,18.14225245,4.4,0.19,FALSE
54242,25.2,28.94060798,0.10,0.51,0.15,29.77469066,4.4,0.14,FALSE
41950,18.3,75.65088592,0.01,0.52,0.03,71.54440523,4,0.14,FALSE
70775,32.4,329.425496,0.21,0.50,0.17,32.24177029,2.6,0.23,FALSE
45786,20.2,146.6343849,0.03,0.52,0.06,30.18533798,3.7,0.17,FALSE
52684,34.1,515.8332269,0.02,0.52,0.06,28.06759698,3.4,0.21,FALSE
52158,32.8,253.9231777,0.15,0.50,0.17,41.80829226,2.4,0.22,FALSE
107589,46,2261.556906,0.10,0.51,0.22,23.33472344,2.9,0.25,FALSE
58394,26.5,133.9387851,0.00,0.51,0.17,31.9363463,5.1,0.19,FALSE
106555,41.7,1611.211601,0.09,0.51,0.26,12.13670086,3.1,0.2,FALSE
86202,33.7,112.9134724,0.06,0.50,0.13,88.15461282,3.5,0.16,FALSE
56926,20.7,167.6909213,0.07,0.50,0.54,13.01169752,7.2,0.22,FALSE
51134,29.8,37.99285143,0.01,0.50,0.12,81.14607769,3.6,0.2,FALSE
53245,16.1,110.6998646,0.07,0.49,0.55,6.665170706,7.7,0.23,FALSE
46897,15.8,51.24380802,0.00,0.50,0.22,46.59398006,5,0.17,FALSE
72721,31.8,2473.975846,0.02,0.51,0.49,12.25208577,4.4,0.23,FALSE
61105,14.5,73.61811902,0.04,0.52,0.59,25.42475227,6.9,0.21,FALSE
112069,58.8,497.4495777,0.02,0.51,0.16,34.77239535,2.3,0.14,FALSE
52309,24.7,24.74059155,-0.01,0.50,0.26,57.63755202,4,0.17,FALSE
76509,24.5,132.3116691,0.04,0.49,0.59,9.215294624,6.2,0.21,FALSE
90230,34.9,184.0606551,0.01,0.50,0.35,87.11813219,2.8,0.19,FALSE
69550,36.6,104.1531805,0.01,0.51,0.10,30.07368052,3.3,0.15,FALSE
95761,39.9,4016.975137,0.05,0.51,0.34,17.31905991,2.8,0.21,FALSE
97688,38.6,283.1033774,0.13,0.51,0.14,32.6363383,3.1,0.18,FALSE
72905,21.8,342.8228483,0.11,0.50,0.50,13.3573712,4.2,0.21,FALSE
71891,30.4,1608.943818,0.09,0.51,0.24,19.97348037,3.7,0.23,FALSE
67398,20.3,108.6948068,0.07,0.50,0.54,11.46744278,3.8,0.22,FALSE
83576,38.1,793.5877413,0.07,0.50,0.34,47.62860472,3.2,0.24,FALSE
121795,57.1,18807.18111,0.09,0.49,0.15,41.97157503,2.2,0.33,FALSE
68458,18.4,547.786925,0.10,0.50,0.42,10.49664894,5.9,0.21,FALSE
76599,34.6,85.82848249,0.05,0.49,0.23,84.77240376,2.9,0.17,FALSE
135234,49.9,1709.543541,0.06,0.51,0.24,15.65408643,2,0.23,FALSE
74530,33.8,163.2486742,0.05,0.50,0.46,49.27222681,3.7,0.2,FALSE
132444,51.3,1494.343074,0.08,0.49,0.25,14.00522447,2.5,0.24,FALSE
85770,40,613.7273401,0.04,0.51,0.34,43.92177532,4.7,0.18,FALSE
61464,22.2,47.69823187,0.02,0.51,0.11,16.65926255,4.7,0.19,FALSE
45954,22.5,6.935295267,-0.03,0.50,0.13,91.8716553,6.5,0.16,FALSE
85704,26.2,544.7335917,0.08,0.50,0.27,22.33923015,3.7,0.22,FALSE
87084,34.9,313.6950304,0.02,0.51,0.27,64.73329881,2.7,0.19,FALSE
62761,16.9,368.3770764,0.07,0.50,0.48,5.448007845,6,0.21,FALSE
56776,14.3,96.63644759,0.05,0.50,0.66,6.435075451,9.6,0.21,FALSE
91446,33.1,459.0043149,0.03,0.51,0.43,17.73037071,3.6,0.2,FALSE
70951,41.6,217.3079633,0.09,0.52,0.32,40.81632653,4.1,0.2,FALSE
