,Unnamed: 0,fips_txt,Stabr,countyshort,countbrewpub,countcontract,countmicro,countregional,counttotal,countlargest,countbest,brewpubper10000,contractper10000,microper10000,regionalper10000,breweriesTOTALper10000,largestboolean,bestboolean,median_HHI_2019,bach_deg_pct_14to18,Latitude,Longitude,population2019,whitepercent,blackpercent,hispanicpercent,millennialpercent,genxpercent,boomerpercent,densitypermile,popchange,malepercent,femalepercent,expectedbreweriesbin,expectedminbrewerysustained,fullcounty,booleanregionalcount,expectedregional
0,0,8111,CO,San Juan,2,0,0,0,2,0,0,27.47252747,0.0,0.0,0.0,27.47252747,False,False,50524,34.5,37.78108,-107.670257,728,0.9464,0.0151,0.125,0.16899999999999998,0.1964,0.3681,1.878767859,0.0398,0.551,0.449,high,0.043260267232,"San Juan, CO",0,0
1,1,2230,AK,Skagway Municipality,2,0,0,0,2,0,0,16.90617075,0.0,0.0,0.0,16.90617075,False,False,74898,33.7,59.5751,-135.335418,1183,0.8631,0.0144,0.0668,0.2933,0.224,0.2282,2.615376112,0.1817,0.524,0.476,high,0.07029793425200001,"Skagway Municipality, AK",0,0
2,2,35021,NM,Harding,0,0,1,0,1,0,0,0.0,0.0,16.0,0.0,16.0,False,False,38162,24.3,35.86315,-103.829931,625,0.9488,0.008,0.4688,0.136,0.128,0.4,0.29405648300000004,-0.112,0.51,0.49,zero,0.0,"Harding, NM",0,0
3,3,8053,CO,Hinsdale,1,0,0,0,1,0,0,12.19512195,0.0,0.0,0.0,12.19512195,False,False,61391,43.9,37.81163,-107.383405,820,0.9317,0.0256,0.0573,0.128,0.1488,0.3707,0.7339442970000001,-0.028,0.515,0.485,high,0.048727224079999985,"Hinsdale, CO",0,0
4,4,8091,CO,Ouray,3,0,1,0,4,0,0,6.05815832,0.0,2.019386107,0.0,8.077544426000001,False,False,72836,48.6,38.1506,-107.767133,4952,0.96,0.0081,0.0652,0.1383,0.1852,0.391,9.143397347999999,0.1042,0.507,0.493,high,0.29426489468799993,"Ouray, CO",0,0
5,5,30059,MT,Meagher,0,0,1,0,1,0,0,0.0,0.0,5.37056928,0.0,5.37056928,False,False,43946,26.1,46.58571,-110.921781,1862,0.9683,0.0097,0.0183,0.1332,0.1445,0.3539,0.7784564070000001,-0.0156,0.512,0.488,high,0.110646452728,"Meagher, MT",0,0
6,6,26083,MI,Keweenaw,0,0,1,0,1,0,0,0.0,0.0,4.7258979210000005,0.0,4.7258979210000005,False,False,47318,30.4,47.68198,-88.148802,2116,0.9726,0.0109,0.017,0.1153,0.1375,0.4112,3.917705957,-0.0189,0.511,0.489,high,0.125740007504,"Keweenaw, MI",0,0
7,7,30107,MT,Wheatland,0,0,1,0,1,0,0,0.0,0.0,4.703668862,0.0,4.703668862,False,False,42059,19.8,46.49705,-109.857147,2126,0.9276,0.0141,0.047,0.1279,0.1675,0.2916,1.493821999,-0.0198,0.518,0.482,zero,0.0,"Wheatland, MT",0,0
8,8,2105,AK,Hoonah-Angoon Census Area,0,0,1,0,1,0,0,0.0,0.0,4.655493482,0.0,4.655493482,False,False,53141,23.4,58.07643,-135.1851,2148,0.4884,0.0363,0.0596,0.1457,0.1834,0.3515,0.285451729,-0.0009,0.532,0.468,high,0.12764155771199998,"Hoonah-Angoon Census Area, AK",0,0
9,9,36097,NY,Schuyler,5,0,2,0,8,0,0,2.80788454,0.0,1.123153816,0.0,4.492615263999999,False,False,52215,22.3,42.41978,-76.938604,17807,0.9635,0.018000000000000002,0.0204,0.1712,0.1894,0.2961,54.23457283,-0.0301,0.498,0.502,high,1.058153267308,"Schuyler, NY",0,0
10,10,54093,WV,Tucker,0,0,3,0,3,0,0,0.0,0.0,4.386606229,0.0,4.386606229,False,False,47222,17.5,39.11118,-79.55996800000001,6839,0.9798,0.0085,0.0089,0.1674,0.1911,0.3189,16.32523477,-0.0442,0.509,0.491,high,0.4063969335159999,"Tucker, WV",0,0
11,11,2100,AK,Haines Borough,0,0,1,0,1,0,0,0.0,0.0,3.95256917,0.0,3.95256917,False,False,62548,37.4,59.09991,-135.578102,2530,0.7976,0.017,0.036000000000000004,0.1628,0.1814,0.3486,1.091175709,0.0087,0.498,0.502,high,0.15034131331999998,"Haines Borough, AK",0,0
12,12,31133,NE,Pawnee,1,0,0,0,1,0,0,3.827018752,0.0,0.0,0.0,3.827018752,False,False,47006,17.5,40.13785,-96.245225,2613,0.9717,0.0122,0.0191,0.1374,0.1412,0.297,6.061590211,-0.0612,0.493,0.507,zero,0.0,"Pawnee, NE",0,0
13,13,20063,KS,Gove,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,3.793626707,False,False,52986,22.7,38.91724,-100.48736,2636,0.9712,0.0121,0.0311,0.1517,0.1449,0.272,2.459723888,-0.0224,0.5,0.5,zero,0.0,"Gove, KS",0,0
14,14,48095,TX,Concho,1,0,0,0,1,0,0,3.668378577,0.0,0.0,0.0,3.668378577,False,False,43321,11.9,31.31887,-99.863648,2726,0.9373,0.0282,0.3474,0.1522,0.1893,0.3037,2.770891208,-0.4993,0.532,0.468,zero,0.0,"Concho, TX",0,0
