fips_txt,Stabr,area_name,countbrewpub,countcontract,countmicro,countregional,counttotal,countlargest,countbest,median_HHI_2019,bach_deg_pct_14to18,Latitude,Longitude,population2019,countyshort
1001,AL,"Autauga County, AL",0,0,0,0,0,0,0,58233,27.7,32.53638,-86.64449,55869,Autauga
1003,AL,"Baldwin County, AL",0,0,2,0,3,0,0,59871,31.3,30.65922,-87.746067,223234,Baldwin
1005,AL,"Barbour County, AL",0,0,0,0,0,0,0,35972,12.2,31.87067,-85.405456,24686,Barbour
1007,AL,"Bibb County, AL",0,0,0,0,0,0,0,47918,11.5,33.01589,-87.127148,22394,Bibb
1009,AL,"Blount County, AL",0,0,0,0,0,0,0,52902,12.6,33.97745,-86.567246,57826,Blount
1011,AL,"Bullock County, AL",0,0,0,0,0,0,0,31906,13.3,32.10176,-85.717261,10101,Bullock
1013,AL,"Butler County, AL",0,0,0,0,0,0,0,39944,16.1,31.75167,-86.681969,19448,Butler
1015,AL,"Calhoun County, AL",1,0,0,0,1,0,0,47747,18,33.77171,-85.822513,113605,Calhoun
1017,AL,"Chambers County, AL",0,0,0,0,0,0,0,42015,13.2,32.91794,-85.391812,33254,Chambers
1019,AL,"Cherokee County, AL",0,0,0,0,0,0,0,45982,12.9,34.06952,-85.654242,26196,Cherokee
1021,AL,"Chilton County, AL",0,0,0,0,0,0,0,49692,14.2,32.85406,-86.726628,44428,Chilton
1023,AL,"Choctaw County, AL",0,0,0,0,0,0,0,39808,13,31.99101,-88.248887,12589,Choctaw
1025,AL,"Clarke County, AL",0,0,0,0,0,0,0,43822,12.6,31.68552,-87.818624,23622,Clarke
1027,AL,"Clay County, AL",0,0,0,0,0,0,0,40562,10.2,33.26781,-85.862051,13235,Clay
1029,AL,"Cleburne County, AL",0,0,0,0,0,0,0,51276,13.7,33.67198,-85.516109,14910,Cleburne
1031,AL,"Coffee County, AL",0,0,0,0,0,0,0,57299,23.4,31.40218,-85.989201,52342,Coffee
1033,AL,"Colbert County, AL",0,0,0,0,0,0,0,46683,18.7,34.70311,-87.801457,55241,Colbert
1035,AL,"Conecuh County, AL",0,0,0,0,0,0,0,41539,10.7,31.42829,-86.992029,12067,Conecuh
1037,AL,"Coosa County, AL",0,0,0,0,0,0,0,42024,11.6,32.93145,-86.243482,10663,Coosa
1039,AL,"Covington County, AL",0,0,0,0,0,0,0,44836,14.9,31.24399,-86.448721,37049,Covington
1041,AL,"Crenshaw County, AL",0,0,0,0,0,0,0,43309,15.6,31.73283,-86.319222,13772,Crenshaw
1043,AL,"Cullman County, AL",0,0,0,0,0,0,0,50897,13.7,34.13192,-86.869267,83768,Cullman
1045,AL,"Dale County, AL",0,0,0,0,0,0,0,45120,17,31.43065,-85.609476,49172,Dale
1047,AL,"Dallas County, AL",0,0,0,0,0,0,0,34034,15.1,32.33354,-87.114356,37196,Dallas
1049,AL,"DeKalb County, AL",0,0,0,0,0,0,0,44277,12.7,34.46093,-85.803992,71513,DeKalb
1051,AL,"Elmore County, AL",0,0,0,0,0,0,0,62310,24.5,32.59723,-86.142739,81209,Elmore
1053,AL,"Escambia County, AL",0,0,0,0,0,0,0,42712,12.7,31.12175,-87.168429,36633,Escambia
1055,AL,"Etowah County, AL",0,0,1,0,1,0,0,43047,17.7,34.04764,-86.03442,102268,Etowah
1057,AL,"Fayette County, AL",0,0,0,0,0,0,0,44212,12.9,33.73225,-87.752049,16302,Fayette
1059,AL,"Franklin County, AL",0,0,0,0,0,0,0,44874,12.9,34.44199,-87.842815,31362,Franklin
1061,AL,"Geneva County, AL",0,0,0,0,0,0,0,43089,11.1,31.09087,-85.824346,26271,Geneva
1063,AL,"Greene County, AL",0,0,0,0,0,0,0,28699,10.1,32.8445,-87.964201,8111,Greene
1065,AL,"Hale County, AL",0,0,0,0,0,0,0,40745,14.1,32.7528,-87.623061,14651,Hale
1067,AL,"Henry County, AL",0,0,0,0,0,0,0,48597,18,31.51698,-85.239971,17205,Henry
1069,AL,"Houston County, AL",0,0,0,0,0,0,0,50138,21,31.15819,-85.296398,105882,Houston
1071,AL,"Jackson County, AL",0,0,0,0,1,0,0,44322,14.2,34.76352,-85.9774,51626,Jackson
1073,AL,"Jefferson County, AL",0,0,6,0,9,0,0,54127,32.4,33.55344,-86.896536,658573,Jefferson
1075,AL,"Lamar County, AL",0,0,0,0,0,0,0,42686,12.5,33.78709,-88.087431,13805,Lamar
1077,AL,"Lauderdale County, AL",0,0,2,0,2,0,0,48188,23.9,34.90412,-87.650997,92729,Lauderdale
1079,AL,"Lawrence County, AL",0,0,0,0,0,0,0,47797,11.7,34.52978,-87.321865,32924,Lawrence
1081,AL,"Lee County, AL",0,0,1,0,1,0,0,54160,34.1,32.60406,-85.353048,164542,Lee
1083,AL,"Limestone County, AL",0,0,0,0,0,0,0,64729,25.5,34.81024,-86.9814,98915,Limestone
1085,AL,"Lowndes County, AL",0,0,0,0,0,0,0,33930,14.1,32.14789,-86.650586,9726,Lowndes
1087,AL,"Macon County, AL",0,0,0,0,0,0,0,34281,20.7,32.38703,-85.692887,18068,Macon
1089,AL,"Madison County, AL",2,0,7,0,10,0,0,68609,41.7,34.76424,-86.55108,372909,Madison
1091,AL,"Marengo County, AL",0,0,0,0,0,0,0,38838,15.4,32.24759,-87.791091,18863,Marengo
1093,AL,"Marion County, AL",0,0,0,0,0,0,0,44675,13.1,34.13822,-87.881551,29709,Marion
1095,AL,"Marshall County, AL",0,0,1,0,1,0,0,48913,19.2,34.30956,-86.321668,96774,Marshall
1097,AL,"Mobile County, AL",0,1,1,0,4,0,0,49492,22.9,30.68457,-88.196568,413210,Mobile
1099,AL,"Monroe County, AL",0,0,0,0,0,0,0,40005,14.1,31.58033,-87.383266,20733,Monroe
1101,AL,"Montgomery County, AL",1,0,0,0,1,0,0,52711,32.1,32.20365,-86.203831,226486,Montgomery
1103,AL,"Morgan County, AL",0,0,1,0,1,0,0,54355,21.7,34.45448,-86.846402,119679,Morgan
1105,AL,"Perry County, AL",0,0,0,0,0,0,0,29572,15.7,32.63901,-87.293827,8923,Perry
1107,AL,"Pickens County, AL",0,0,0,0,0,0,0,40249,13.5,33.29681,-88.096878,19930,Pickens
1109,AL,"Pike County, AL",0,0,0,0,0,0,0,41271,23.6,31.79873,-85.941997,33114,Pike
1111,AL,"Randolph County, AL",0,0,0,0,0,0,0,42922,14.9,33.29648,-85.464068,22722,Randolph
1113,AL,"Russell County, AL",0,0,1,0,1,0,0,43670,16.5,32.28981,-85.18698,57961,Russell
1115,AL,"St. Clair County, AL",0,0,0,0,0,0,0,65403,16.5,33.71296,-86.315663,89512,St. Clair
1117,AL,"Shelby County, AL",0,0,0,0,1,0,0,77801,42.1,33.26294,-86.678104,217702,Shelby
1119,AL,"Sumter County, AL",0,0,0,0,0,0,0,29209,21.8,32.59748,-88.200057,12427,Sumter
1121,AL,"Talladega County, AL",0,0,0,0,0,0,0,47719,14.3,33.36928,-86.175805,79978,Talladega
1123,AL,"Tallapoosa County, AL",0,0,0,0,0,0,0,47100,18.3,32.86337,-85.799553,40367,Tallapoosa
1125,AL,"Tuscaloosa County, AL",0,0,3,0,3,0,0,52307,30.3,33.2902,-87.52286,209355,Tuscaloosa
1127,AL,"Walker County, AL",0,0,2,0,2,0,0,45991,11.6,33.79157,-87.301092,63521,Walker
1129,AL,"Washington County, AL",0,0,0,0,0,0,0,48864,11.1,31.40697,-88.202078,16326,Washington
1131,AL,"Wilcox County, AL",0,0,0,0,0,0,0,30998,12.5,31.99033,-87.302205,10373,Wilcox
1133,AL,"Winston County, AL",0,0,0,0,0,0,0,40827,13.5,34.15589,-87.364147,23629,Winston
2013,AK,"Aleutians East Borough, AK",0,0,0,0,0,0,0,66923,12.7,55.24372,-161.950749,3337,Aleutians East Borough
2016,AK,"Aleutians West Census Area, AK",0,0,0,0,0,0,0,84726,16.4,51.95945,-178.338813,5634,Aleutians West Census Area
2020,AK,"Anchorage Borough/municipality, AK",4,1,5,0,12,0,1,82512,35.3,61.17755,-149.274354,288000,Anchorage
2050,AK,"Bethel Census Area, AK",0,0,0,0,0,0,0,48262,12.3,60.92892,-160.15335,18386,Bethel Census Area
2060,AK,"Bristol Bay Borough, AK",0,0,0,0,0,0,0,87950,22.3,58.73137,-156.986612,836,Bristol Bay Borough
2068,AK,"Denali Borough, AK",0,0,0,0,0,0,0,78434,43.5,63.68273,-150.026719,2097,Denali Borough
2070,AK,"Dillingham Census Area, AK",0,0,0,0,0,0,0,57436,19.3,59.82482,-158.602233,4916,Dillingham Census Area
2090,AK,"Fairbanks North Star Borough, AK",0,0,2,0,3,0,0,74076,32.6,64.69083,-146.599867,96849,Fairbanks North Star Borough
2100,AK,"Haines Borough, AK",0,0,1,0,1,0,0,62548,37.4,59.09991,-135.578102,2530,Haines Borough
2105,AK,"Hoonah-Angoon Census Area, AK",0,0,1,0,1,0,0,53141,23.4,58.07643,-135.1851,2148,Hoonah-Angoon Census Area
2110,AK,"Juneau Borough/city, AK",1,0,1,1,3,1,0,85419,39.5,58.3727,-134.178781,31974,Juneau Borough
2122,AK,"Kenai Peninsula Borough, AK",1,0,2,0,3,0,0,68625,23.3,60.36637,-152.321973,58708,Kenai Peninsula Borough
2130,AK,"Ketchikan Gateway Borough, AK",0,0,0,0,2,0,0,75706,24.5,55.44994,-131.106685,13901,Ketchikan Gateway Borough
2150,AK,"Kodiak Island Borough, AK",0,0,1,0,1,0,0,79669,26,57.55361,-153.630911,12998,Kodiak Island Borough
2164,AK,"Lake and Peninsula Borough, AK",0,0,0,0,0,0,0,51693,15.8,58.20507,-156.705188,1592,Lake and Peninsula Borough
2170,AK,"Matanuska-Susitna Borough, AK",1,0,1,0,2,0,0,75856,21.2,62.18217,-149.407974,108317,Matanuska-Susitna Borough
2180,AK,"Nome Census Area, AK",0,0,0,0,0,0,0,58464,14.6,64.78369,-164.188912,10004,Nome Census Area
2185,AK,"North Slope Borough, AK",0,0,0,0,0,0,0,84784,16.6,69.44934,-153.47283,9832,North Slope Borough
2188,AK,"Northwest Arctic Borough, AK",0,0,0,0,0,0,0,61660,11.7,67.00507,-160.021086,7621,Northwest Arctic Borough
2195,AK,"Petersburg Borough, AK",0,0,0,0,0,0,0,71296,27.6,56.63961,-133.527996,3266,Petersburg Borough
2198,AK,"Prince of Wales-Hyder Census Area, AK",0,0,0,0,0,0,0,50049,17.6,55.41568,-132.875734,6203,Prince of Wales-Hyder Census Area
2220,AK,"Sitka Borough/city, AK",0,0,1,0,1,0,0,80660,32.6,57.14251,-135.332624,8493,Sitka Borough
2230,AK,"Skagway Municipality, AK",2,0,0,0,2,0,0,74898,33.7,59.5751,-135.335418,1183,Skagway Municipality
2240,AK,"Southeast Fairbanks Census Area, AK",0,0,0,0,0,0,0,69646,19.1,63.865,-143.218628,6893,Southeast Fairbanks Census Area
2261,AK,"Valdez-Cordova Census Area, AK",0,0,0,0,0,0,0,74574,30.6,61.34984,-145.023141,9202,Valdez-Cordova Census Area
2275,AK,"Wrangell Borough/city, AK",0,0,0,0,0,0,0,62496,20.7,56.27912,-132.040326,2502,Wrangell
2282,AK,"Yakutat Borough/city, AK",0,0,0,0,0,0,0,61587,20,59.99908,-140.239593,579,Yakutat Borough
2290,AK,"Yukon-Koyukuk Census Area, AK",1,0,0,0,1,0,0,42063,13.4,65.37613,-151.576855,5230,Yukon-Koyukuk Census Area
4001,AZ,"Apache County, AZ",0,0,0,0,0,0,0,35386,11.7,35.38585,-109.493747,71887,Apache
4003,AZ,"Cochise County, AZ",0,0,2,0,3,0,0,48650,23,31.88179,-109.75412,125922,Cochise
4005,AZ,"Coconino County, AZ",3,0,6,0,9,0,0,58301,35.6,35.82969,-111.773728,143476,Coconino
4007,AZ,"Gila County, AZ",0,0,0,0,0,0,0,45980,18.5,33.78962,-110.81187,54018,Gila
4009,AZ,"Graham County, AZ",0,0,0,0,0,0,0,50685,15.3,32.93183,-109.87831,38837,Graham
4011,AZ,"Greenlee County, AZ",0,0,0,0,0,0,0,68066,11.9,33.23887,-109.242323,9498,Greenlee
4012,AZ,"La Paz County, AZ",0,0,0,0,0,0,0,39407,12.4,33.72763,-114.038793,21108,La Paz
4013,AZ,"Maricopa County, AZ",25,3,15,1,56,0,0,68634,32,33.34654,-112.495534,4485414,Maricopa
4015,AZ,"Mohave County, AZ",2,0,4,0,6,0,0,49712,12.9,35.71771,-113.749689,212181,Mohave
