countyid,countbrewpub,countcontract,countmicro,countregional,counttotal,countlargest,countbest
1003,,,2,,3,0,0
1015,1,,,,1,0,0
1055,,,1,,1,0,0
1071,,,,,1,0,0
1073,,,6,,9,0,0
1077,,,2,,2,0,0
1081,,,1,,1,0,0
1089,2,,7,,10,0,0
1095,,,1,,1,0,0
1097,,1,1,,4,0,0
1101,1,,,,1,0,0
1103,,,1,,1,0,0
1113,,,1,,1,0,0
1117,,,,,1,0,0
1125,,,3,,3,0,0
1127,,,2,,2,0,0
2020,4,1,5,,12,0,0
2063,,,,,1,0,0
2090,,,2,,3,0,0
2100,,,1,,1,0,0
2105,,,1,,1,0,0
2110,1,,1,1,3,0,0
2122,1,,2,,3,0,0
2130,,,,,2,0,0
2150,,,1,,1,0,0
2170,1,,1,,2,0,0
2220,,,1,,1,0,0
2230,2,,,,2,0,0
2290,1,,,,1,0,0
4003,,,2,,3,0,0
4005,3,,6,,9,0,0
4013,25,3,15,1,56,0,0
4015,2,,4,,6,0,0
4017,1,,1,,2,0,0
4019,2,,16,,19,0,0
4025,3,,2,,7,0,0
4027,1,,,,2,0,0
5005,,,3,,3,0,0
5007,1,,6,,9,0,0
5009,1,,,,1,0,0
5015,,,,,1,0,0
5019,,,1,,1,0,0
5051,3,,,,3,0,0
5055,1,,,,1,0,0
5065,1,,,,1,0,0
5119,5,,6,,11,0,0
5131,,,1,,1,0,0
5143,5,1,3,,10,0,0
6001,8,3,20,3,39,0,0
6005,,,1,,1,0,0
6007,2,,4,1,7,0,0
6009,1,,,,1,0,0
6011,,,,,1,0,0
6013,4,1,8,,14,0,0
6015,2,,,,2,0,0
6017,7,,7,,17,0,0
6019,2,,7,,13,0,0
6023,2,,7,1,11,0,0
6025,1,,1,,2,0,0
6027,,,2,,2,0,0
6029,4,,1,,6,0,0
6031,,,1,,1,0,0
6033,1,,1,,3,0,0
6035,2,,,,2,0,0
6037,22,10,64,,123,0,0
6039,1,1,2,,4,0,0
6041,5,,2,,9,0,0
6043,,,2,,2,0,0
6045,1,1,1,2,5,0,0
6047,,,1,,1,0,0
6051,,,2,,2,0,0
6053,1,1,2,,4,0,0
6055,8,,3,,12,0,0
6057,1,,2,,3,0,0
6059,14,,30,,55,0,0
6061,4,,8,,13,0,0
6065,11,,18,,33,0,0
6067,6,,20,,31,0,0
6069,1,,1,,2,0,0
6071,5,,17,1,25,0,0
6073,37,2,94,9,159,0,0
6075,17,1,12,1,37,0,0
6077,3,,4,,8,0,0
6079,7,1,13,1,24,0,0
6081,5,1,5,,12,0,0
6083,8,,11,1,22,0,0
6085,10,5,9,2,27,0,0
6087,5,,5,,12,0,0
6089,2,,1,,3,0,0
6093,2,,2,,4,0,0
6095,1,1,4,,10,0,0
6097,13,,13,3,32,0,0
6099,,,3,,3,0,0
6101,1,,,,1,0,0
6103,1,,,,1,0,0
6107,1,,2,,3,0,0
6111,2,,9,,15,0,0
6113,,,9,,9,0,0
8001,3,1,5,1,10,0,0
8003,1,,2,,3,0,0
8005,2,,11,,20,0,0
8007,2,,,,2,0,0
8013,16,,18,3,40,0,0
8014,1,,3,,5,0,0
8015,1,,2,,3,0,0
8019,1,,2,,3,0,0
8029,1,,1,,3,0,0
8031,13,3,47,2,72,0,0
8035,3,,5,,11,0,0
8037,1,,2,,3,0,0
8041,8,,17,,26,0,0
8043,1,,1,,2,0,0
8045,2,,,,3,0,0
8047,1,,,,1,0,0
8049,1,,1,,3,0,0
8051,2,,1,,3,0,0
8053,1,,,,1,0,0
8059,12,2,11,,30,0,0
8065,1,,,,1,0,0
8067,6,,,,6,0,0
8069,5,1,19,2,32,0,0
8071,,,,,1,0,0
8077,5,,1,,6,0,0
8083,5,,,,5,0,0
8085,2,,1,,4,0,0
8089,,,1,,1,0,0
8091,3,,1,,4,0,0
8093,,,1,,1,0,0
8097,,,1,,1,0,0
8101,3,,1,,4,0,0
8105,1,,,,1,0,0
8107,2,,1,,3,0,0
8109,1,,,,1,0,0
8111,2,,,,2,0,0
8113,1,,,,2,0,0
8117,3,,3,,7,0,0
8119,3,,1,,4,0,0
8123,5,,6,,13,0,0
8125,1,,,,1,0,0
9001,3,2,8,1,16,0,0
